request,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
dt=1&d-et=3&d-cci=86&d-eid=15268,d-eid,15268,CIVIL MARRIAGE COLLABORATIVE,d-et,3,Non-Individual,1,125000
dt=1&d-et=3&d-cci=86&d-eid=12933,d-eid,12933,HORIZONS FOUNDATION,d-et,3,Non-Individual,5,120000
dt=1&d-et=3&d-cci=86&d-eid=7783,d-eid,7783,EQUALITY MICHIGAN,d-et,3,Non-Individual,75,117650
dt=1&d-et=3&d-cci=86&d-eid=8230066,d-eid,8230066,SOUTH CAROLINA EQUALITY COALITION,d-et,3,Non-Individual,22,113603.65
dt=1&d-et=3&d-cci=86&d-eid=13728,d-eid,13728,LOG CABIN REPUBLICANS NEW YORK,d-et,3,Non-Individual,61,105965
dt=1&d-et=3&d-cci=86&d-eid=969458,d-eid,969458,EQUALITY FLORIDA ACTION NETWORK,d-et,3,Non-Individual,10,102301.02
dt=1&d-et=3&d-cci=86&d-eid=5477728,d-eid,5477728,RIGHT TO PRIVACY PAC,d-et,3,Non-Individual,75,98347.35
dt=1&d-et=3&d-cci=86&d-eid=10085,d-eid,10085,ARCUS FOUNDATION,d-et,3,Non-Individual,1,97557
dt=1&d-et=3&d-cci=86&d-eid=2599274,d-eid,2599274,ILLINOIS FAIRNESS FUND,d-et,3,Non-Individual,11,90194.41
dt=1&d-et=3&d-cci=86&d-eid=100539,d-eid,100539,STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,d-et,3,Non-Individual,72,81864
dt=1&d-et=3&d-cci=86&d-eid=22978,d-eid,22978,MASSEQUALITY,d-et,3,Non-Individual,173,78349.61
dt=1&d-et=3&d-cci=86&d-eid=13788,d-eid,13788,LOVE MAKES A FAMILY,d-et,3,Non-Individual,64,74776.64
dt=1&d-et=3&d-cci=86&d-eid=6538,d-eid,6538,DELAWARE STONEWALL DEMOCRATS,d-et,3,Non-Individual,173,72450
dt=1&d-et=3&d-cci=86&d-eid=6015613,d-eid,6015613,FAIRNESS FUND,d-et,3,Non-Individual,15,66463.81
dt=1&d-et=3&d-cci=86&d-eid=46852592,d-eid,46852592,GLBTQ LEGAL ADVOCATES & DEFENDERS INC,d-et,3,Non-Individual,2,65000
dt=1&d-et=3&d-cci=86&d-eid=5320073,d-eid,5320073,INDIANA STONEWALL DEMOCRATS,d-et,3,Non-Individual,68,64050
dt=1&d-et=3&d-cci=86&d-eid=5392730,d-eid,5392730,RIGHT TO PRIVACY PAC,d-et,3,Non-Individual,114,62300
dt=1&d-et=3&d-cci=86&d-eid=8607782,d-eid,8607782,EQUALITY SOUTH DAKOTA,d-et,3,Non-Individual,103,60400
dt=1&d-et=3&d-cci=86&d-eid=12051,d-eid,12051,FAMILY EQUALITY COUNCIL,d-et,3,Non-Individual,8,60187.55
dt=1&d-et=3&d-cci=86&d-eid=9992303,d-eid,9992303,TWO SISTERS & A WIFE FOUNDATION,d-et,3,Non-Individual,1,60000
dt=1&d-et=3&d-cci=86&d-eid=1727525,d-eid,1727525,MICHIGAN PRIDE,d-et,3,Non-Individual,60,59947.75
dt=1&d-et=3&d-cci=86&d-eid=21529841,d-eid,21529841,MINNESOTA UNITED PAC,d-et,3,Non-Individual,19,59000
dt=1&d-et=3&d-cci=86&d-eid=14410,d-eid,14410,NATIONAL CENTER FOR LESBIAN RIGHTS,d-et,3,Non-Individual,3,56000
dt=1&d-et=3&d-cci=86&d-eid=1126201,d-eid,1126201,GARDEN STATE EQUALITY,d-et,3,Non-Individual,29,53925
dt=1&d-et=3&d-cci=86&d-eid=16877360,d-eid,16877360,KEVIN J MOSSIER FOUNDATION,d-et,3,Non-Individual,1,52500
dt=1&d-et=3&d-cci=86&d-eid=6551997,d-eid,6551997,GARDEN STATE EQUALITY LLC,d-et,3,Non-Individual,13,50050
dt=1&d-et=3&d-cci=86&d-eid=13669,d-eid,13669,LESBIAN EQUITY FOUNDATION,d-et,3,Non-Individual,3,50000
dt=1&d-et=3&d-cci=86&d-eid=6573638,d-eid,6573638,GAY & LESBIAN RESOURCE CENTER IOWA,d-et,3,Non-Individual,2,50000
dt=1&d-et=3&d-cci=86&d-eid=11519838,d-eid,11519838,NO NONSENSE IN NOVEMBER,d-et,3,Non-Individual,3,47265
dt=1&d-et=3&d-cci=86&d-eid=16310122,d-eid,16310122,MAINERS UNITED FOR MARRIAGE,d-et,3,Non-Individual,1,46977
dt=1&d-et=3&d-cci=86&d-eid=44751099,d-eid,44751099,GREATER BOSTON PFLAG,d-et,3,Non-Individual,2,45000
dt=1&d-et=3&d-cci=86&d-eid=4506564,d-eid,4506564,JLS OPERATIONS,d-et,3,Non-Individual,4,44500
dt=1&d-et=3&d-cci=86&d-eid=16878,d-eid,16878,VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,d-et,3,Non-Individual,69,44427.45
dt=1&d-et=3&d-cci=86&d-eid=4245869,d-eid,4245869,PRIVACY FUND,d-et,3,Non-Individual,95,44100
dt=1&d-et=3&d-cci=86&d-eid=8289586,d-eid,8289586,ALLIANCE FOR FULL ACCEPTANCE,d-et,3,Non-Individual,9,41313.9
dt=1&d-et=3&d-cci=86&d-eid=9039403,d-eid,9039403,EQUALITY NEW MEXICO,d-et,3,Non-Individual,72,41120
dt=1&d-et=3&d-cci=86&d-eid=9353,d-eid,9353,VERMONT FUND FOR FAMILIES,d-et,3,Non-Individual,113,38771.77
dt=1&d-et=3&d-cci=86&d-eid=2596550,d-eid,2596550,CLEVELAND STONEWALL DEMOCRATS,d-et,3,Non-Individual,67,36100
dt=1&d-et=3&d-cci=86&d-eid=695917,d-eid,695917,LOG CABIN REPUBLICANS OF CALIFORNIA,d-et,3,Non-Individual,55,34935.34
dt=1&d-et=3&d-cci=86&d-eid=9977668,d-eid,9977668,LGBT MENTORING PROJECT,d-et,3,Non-Individual,2,32875
dt=1&d-et=3&d-cci=86&d-eid=948564,d-eid,948564,TEXAS STONEWALL DEMOCRATIC CAUCUS,d-et,3,Non-Individual,62,32800
dt=1&d-et=3&d-cci=86&d-eid=9964870,d-eid,9964870,PROTECT MAINE EQUALITY,d-et,3,Non-Individual,2,31100
dt=1&d-et=3&d-cci=86&d-eid=5456552,d-eid,5456552,REPUBLICAN UNITY COALITION,d-et,3,Non-Individual,2,30000
dt=1&d-et=3&d-cci=86&d-eid=11519839,d-eid,11519839,NO NONSENSE IN 2006,d-et,3,Non-Individual,3,29613.72
dt=1&d-et=3&d-cci=86&d-eid=11518334,d-eid,11518334,LESBIAN / GAY RIGHTS LOBBY OF TEXAS CALKIN FUND,d-et,3,Non-Individual,4,29000
dt=1&d-et=3&d-cci=86&d-eid=212753,d-eid,212753,MICH PRIDE PAC,d-et,3,Non-Individual,54,28500
dt=1&d-et=3&d-cci=86&d-eid=18929653,d-eid,18929653,FAIR WISCONSIN,d-et,3,Non-Individual,2,26980
dt=1&d-et=3&d-cci=86&d-eid=8399681,d-eid,8399681,DELAWARE LIBERTY FUND,d-et,3,Non-Individual,117,26700
dt=1&d-et=3&d-cci=86&d-eid=16887216,d-eid,16887216,EQUALITY NC ACTION FUND,d-et,3,Non-Individual,22,26145
dt=1&d-et=3&d-cci=86&d-eid=24155,d-eid,24155,CALIFORNIA MARRIAGE PAC,d-et,3,Non-Individual,2,26000
dt=1&d-et=3&d-cci=86&d-eid=12045,d-eid,12045,FAIRNESS FOR ALL FAMILIES,d-et,3,Non-Individual,1,25000
dt=1&d-et=3&d-cci=86&d-eid=12205,d-eid,12205,FLORIDA RED & BLUE,d-et,3,Non-Individual,1,25000
dt=1&d-et=3&d-cci=86&d-eid=964294,d-eid,964294,LAMBDA LEGAL,d-et,3,Non-Individual,1,25000
dt=1&d-et=3&d-cci=86&d-eid=29317960,d-eid,29317960,LESBIAN POLITICAL ACTION CMTE,d-et,3,Non-Individual,1,25000
dt=1&d-et=3&d-cci=86&d-eid=1494834,d-eid,1494834,PRIDE SOURCE MEDIA GROUP,d-et,3,Non-Individual,4,24995
dt=1&d-et=3&d-cci=86&d-eid=14910,d-eid,14910,PARENTS FAMILIES & FRIENDS OF LESBIANS & GAYS (PFLAG) NATIONAL OFFICE,d-et,3,Non-Individual,2,24150
