request,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
dt=1&d-et=3&d-cci=86&d-eid=8606892,d-eid,8606892,OKLAHOMA STONEWALL DEMOCRATS,d-et,3,Non-Individual,12,4049.99
dt=1&d-et=3&d-cci=86&d-eid=772625,d-eid,772625,STONEWALL DEMOCRATIC CLUB,d-et,3,Non-Individual,11,4040
dt=1&d-et=3&d-cci=86&d-eid=10021186,d-eid,10021186,MID-COAST WONT DISCRIMINATE,d-et,3,Non-Individual,2,4000
dt=1&d-et=3&d-cci=86&d-eid=17000430,d-eid,17000430,STONEWALL DEMOCRATIC CAUCUS,d-et,3,Non-Individual,7,3850
dt=1&d-et=3&d-cci=86&d-eid=125014,d-eid,125014,LANSING ASSOCIATION FOR HUMAN RIGHTS,d-et,3,Non-Individual,13,3778
dt=1&d-et=3&d-cci=86&d-eid=4882436,d-eid,4882436,GAY & LESBIAN INDEPENDENT DEMOCRATS,d-et,3,Non-Individual,13,3750
dt=1&d-et=3&d-cci=86&d-eid=1279277,d-eid,1279277,BAY STATE STONEWALL DEMOCRATS,d-et,3,Non-Individual,19,3575
dt=1&d-et=3&d-cci=86&d-eid=8740398,d-eid,8740398,CENTRAL OKLAHOMA STONEWALL DEMOCRATS,d-et,3,Non-Individual,10,3570
dt=1&d-et=3&d-cci=86&d-eid=4589862,d-eid,4589862,NASSAU COUNTY LESBIAN & GAY DEMOCRATS,d-et,3,Non-Individual,21,3525
dt=1&d-et=3&d-cci=86&d-eid=7917423,d-eid,7917423,FAMILIES FOR A BETTER IDAHO,d-et,3,Non-Individual,7,3500
dt=1&d-et=3&d-cci=86&d-eid=16884701,d-eid,16884701,VICTORY FUND PAC,d-et,3,Non-Individual,1,3500
dt=1&d-et=3&d-cci=86&d-eid=6122581,d-eid,6122581,RAINBOW EQUALITY,d-et,3,Non-Individual,15,3475
dt=1&d-et=3&d-cci=86&d-eid=308762,d-eid,308762,GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE,d-et,3,Non-Individual,4,3450
dt=1&d-et=3&d-cci=86&d-eid=4841563,d-eid,4841563,GLID,d-et,3,Non-Individual,13,3400
dt=1&d-et=3&d-cci=86&d-eid=9770897,d-eid,9770897,STONEWALL DEMOCRATS OF ARKANSAS,d-et,3,Non-Individual,26,3235
dt=1&d-et=3&d-cci=86&d-eid=2177531,d-eid,2177531,STONEWALL DEMOCRATIC CLUB - ISSUES & ADVOCACY CMTE,d-et,3,Non-Individual,1,3200
dt=1&d-et=3&d-cci=86&d-eid=1494350,d-eid,1494350,COALITION FOR ADOPTION RIGHTS EQUALITY,d-et,3,Non-Individual,2,3000
dt=1&d-et=3&d-cci=86&d-eid=7966465,d-eid,7966465,PFLAG TREASURE VALLEY,d-et,3,Non-Individual,2,3000
dt=1&d-et=3&d-cci=86&d-eid=6573881,d-eid,6573881,BOULDER PRIDE,d-et,3,Non-Individual,1,2655
dt=1&d-et=3&d-cci=86&d-eid=3407590,d-eid,3407590,LOG CABIN REPUBLICANS OF NW OHIO,d-et,3,Non-Individual,1,2600
dt=1&d-et=3&d-cci=86&d-eid=5329155,d-eid,5329155,BASIC RIGHTS OF OR ELECT PAC 3087,d-et,3,Non-Individual,5,2564
dt=1&d-et=3&d-cci=86&d-eid=4811801,d-eid,4811801,LOG CABIN REPUBLICANS HUDSON VALLEY,d-et,3,Non-Individual,7,2520
dt=1&d-et=3&d-cci=86&d-eid=1661497,d-eid,1661497,LAMBDA DEMOCRATS OF KEY WEST,d-et,3,Non-Individual,3,2510
dt=1&d-et=3&d-cci=86&d-eid=5323430,d-eid,5323430,BASIC RIGHTS OF OREGON ELECT PAC 3087,d-et,3,Non-Individual,13,2503
dt=1&d-et=3&d-cci=86&d-eid=1048299,d-eid,1048299,NATIONAL STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,2500
dt=1&d-et=3&d-cci=86&d-eid=5827472,d-eid,5827472,LOG CABIN REPUBLICAN CLUB OF VIRGINIA,d-et,3,Non-Individual,10,2500
dt=1&d-et=3&d-cci=86&d-eid=1131820,d-eid,1131820,GATEWAY STONEWALL DEMOCRATS,d-et,3,Non-Individual,7,2280
dt=1&d-et=3&d-cci=86&d-eid=4374755,d-eid,4374755,LESBIAN COMMUNITY PROJECT OF MID-MISSOURI,d-et,3,Non-Individual,1,2187
dt=1&d-et=3&d-cci=86&d-eid=132591,d-eid,132591,LONG BEACH LAMBDA DEMOCRATIC CLUB,d-et,3,Non-Individual,1,2000
dt=1&d-et=3&d-cci=86&d-eid=7624259,d-eid,7624259,NATIONAL RAINBOW COALITION,d-et,3,Non-Individual,1,2000
dt=1&d-et=3&d-cci=86&d-eid=7629388,d-eid,7629388,GEORGIA STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,2000
dt=1&d-et=3&d-cci=86&d-eid=6573872,d-eid,6573872,PFLAG BOULDER,d-et,3,Non-Individual,1,1852
dt=1&d-et=3&d-cci=86&d-eid=8929479,d-eid,8929479,FLINT HILLS PFLAG,d-et,3,Non-Individual,1,1830
dt=1&d-et=3&d-cci=86&d-eid=537978,d-eid,537978,BROWARD LOG CABIN CLUB,d-et,3,Non-Individual,11,1825
dt=1&d-et=3&d-cci=86&d-eid=16354119,d-eid,16354119,MARYLAND FOR ALL FAMILIES,d-et,3,Non-Individual,2,1787.5
dt=1&d-et=3&d-cci=86&d-eid=5588545,d-eid,5588545,GAY & LESBIAN VOTERS PAC,d-et,3,Non-Individual,9,1750
dt=1&d-et=3&d-cci=86&d-eid=7519171,d-eid,7519171,RAINBOW ALLIANCE,d-et,3,Non-Individual,4,1750
dt=1&d-et=3&d-cci=86&d-eid=8425554,d-eid,8425554,EQUALITY ARIZONA,d-et,3,Non-Individual,3,1660
dt=1&d-et=3&d-cci=86&d-eid=5191234,d-eid,5191234,LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA,d-et,3,Non-Individual,6,1600
dt=1&d-et=3&d-cci=86&d-eid=15917448,d-eid,15917448,KANSAS DEMOCRATIC CAUCUS LGBT,d-et,3,Non-Individual,4,1600
dt=1&d-et=3&d-cci=86&d-eid=1132222,d-eid,1132222,GAY & LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY,d-et,3,Non-Individual,1,1548
dt=1&d-et=3&d-cci=86&d-eid=302842,d-eid,302842,MONTCALM COUNTY REPUBLICANS,d-et,3,Non-Individual,3,1500
dt=1&d-et=3&d-cci=86&d-eid=2505281,d-eid,2505281,AMERICAN AIDS,d-et,3,Non-Individual,2,1500
dt=1&d-et=3&d-cci=86&d-eid=4511074,d-eid,4511074,STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY,d-et,3,Non-Individual,2,1500
dt=1&d-et=3&d-cci=86&d-eid=6723575,d-eid,6723575,GAY PASG PAC,d-et,3,Non-Individual,3,1500
dt=1&d-et=3&d-cci=86&d-eid=9979125,d-eid,9979125,RAINBOW BUSINESS & PROFESSIONAL ASSOCIATION,d-et,3,Non-Individual,1,1500
dt=1&d-et=3&d-cci=86&d-eid=11251661,d-eid,11251661,GAY OREGON LESBIAN DOLLARS PAC,d-et,3,Non-Individual,2,1500
dt=1&d-et=3&d-cci=86&d-eid=4958837,d-eid,4958837,GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY,d-et,3,Non-Individual,5,1475
dt=1&d-et=3&d-cci=86&d-eid=4854506,d-eid,4854506,LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,d-et,3,Non-Individual,8,1468
dt=1&d-et=3&d-cci=86&d-eid=7618796,d-eid,7618796,LOVE MAKES A FAMILY PAC,d-et,3,Non-Individual,3,1450
dt=1&d-et=3&d-cci=86&d-eid=1167896,d-eid,1167896,INLAND EMPIRE LESBIAN & GAY DEMOCRATIC CLUB,d-et,3,Non-Individual,5,1350
dt=1&d-et=3&d-cci=86&d-eid=6030019,d-eid,6030019,THOMAS JEFFERSON MEMORIAL UUC GAY/STRAIGHT ALLIANCE,d-et,3,Non-Individual,2,1332.5
dt=1&d-et=3&d-cci=86&d-eid=3511452,d-eid,3511452,LOG CABIN REPUBLICANS OF WISCONSIN,d-et,3,Non-Individual,3,1300
dt=1&d-et=3&d-cci=86&d-eid=5163704,d-eid,5163704,BALTIMORE OUTLOUD,d-et,3,Non-Individual,3,1300
dt=1&d-et=3&d-cci=86&d-eid=3058692,d-eid,3058692,HUMAN RIGHTS CAMPAIGN OHIO FAMILIES PAC,d-et,3,Non-Individual,1,1242.08
dt=1&d-et=3&d-cci=86&d-eid=5225752,d-eid,5225752,GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID,d-et,3,Non-Individual,5,1200
dt=1&d-et=3&d-cci=86&d-eid=9496564,d-eid,9496564,COMM FOR FAIRNESS & INDIVIDUAL RIGHTS,d-et,3,Non-Individual,5,1200
dt=1&d-et=3&d-cci=86&d-eid=4237902,d-eid,4237902,EQUALITY WA PAC,d-et,3,Non-Individual,5,1185
dt=1&d-et=3&d-cci=86&d-eid=8290569,d-eid,8290569,CHARLESTON SOCIAL CLUB,d-et,3,Non-Individual,1,1172.25
dt=1&d-et=3&d-cci=86&d-eid=276242,d-eid,276242,PRIDE PAC,d-et,3,Non-Individual,2,1150
dt=1&d-et=3&d-cci=86&d-eid=3708053,d-eid,3708053,ST LOUIS STONEWALL DEMOCRATS,d-et,3,Non-Individual,6,1140
dt=1&d-et=3&d-cci=86&d-eid=5755359,d-eid,5755359,VIRGINIA PARTISANS GAY & LESBIAN PAC,d-et,3,Non-Individual,2,1125
dt=1&d-et=3&d-cci=86&d-eid=6029483,d-eid,6029483,EQUALITY VIRGINIA EDUCATION FOUNDATION,d-et,3,Non-Individual,1,1125
dt=1&d-et=3&d-cci=86&d-eid=4223989,d-eid,4223989,HANDS OFF WA,d-et,3,Non-Individual,5,1110
dt=1&d-et=3&d-cci=86&d-eid=3793103,d-eid,3793103,PFLAG MADISON,d-et,3,Non-Individual,3,1100
dt=1&d-et=3&d-cci=86&d-eid=4560956,d-eid,4560956,STONEWALL DEMOCRATS OF WESTCHESTER,d-et,3,Non-Individual,1,1069.07
dt=1&d-et=3&d-cci=86&d-eid=3665796,d-eid,3665796,OUTLOOK MEDIA,d-et,3,Non-Individual,2,1048
dt=1&d-et=3&d-cci=86&d-eid=1494754,d-eid,1494754,PFLAG DETROIT,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=3665590,d-eid,3665590,LEAGUE@NCR,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=3815430,d-eid,3815430,PFLAG FOX CITIES,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=5213412,d-eid,5213412,OREGON GAY & LESBIAN LAW ASSOCIATION,d-et,3,Non-Individual,2,1000
dt=1&d-et=3&d-cci=86&d-eid=5877019,d-eid,5877019,PRIDE OF PHILADELPHIA ELECTION COMM,d-et,3,Non-Individual,4,1000
dt=1&d-et=3&d-cci=86&d-eid=6571332,d-eid,6571332,COLORADO STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=7384829,d-eid,7384829,INDIANA STONEWELL DEMOCRATS,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=8659047,d-eid,8659047,MIDWEST BISEXUAL LESBIAN GAY TRANSGENDER & ALLY COLLEGE CONFERENCE,d-et,3,Non-Individual,2,1000
dt=1&d-et=3&d-cci=86&d-eid=8808723,d-eid,8808723,KANSAS EQUALITY COALITION,d-et,3,Non-Individual,2,1000
dt=1&d-et=3&d-cci=86&d-eid=9861954,d-eid,9861954,STONE WALL DEMOCRATES,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=9993606,d-eid,9993606,LOG CABIN REPUBLICAN PAC FREEDOM & UNITY CMTE/LCR PAC,d-et,3,Non-Individual,5,1000
dt=1&d-et=3&d-cci=86&d-eid=10243819,d-eid,10243819,LOG CABIN REPUBLICANS AGAINST 8,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=11519016,d-eid,11519016,HUMAN RIGHTS CAMPAIGN DALLAS/FORT WORTH,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=11858832,d-eid,11858832,STONEWALL DEMOCRATS OF BEXAR COUNTY,d-et,3,Non-Individual,2,1000
dt=1&d-et=3&d-cci=86&d-eid=16639272,d-eid,16639272,OK GLBT PAC,d-et,3,Non-Individual,1,1000
dt=1&d-et=3&d-cci=86&d-eid=1017550,d-eid,1017550,STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA,d-et,3,Non-Individual,5,950
dt=1&d-et=3&d-cci=86&d-eid=6978709,d-eid,6978709,PAKISTANI AMERICAN COMMUNITY OF ATLANTA,d-et,3,Non-Individual,2,950
dt=1&d-et=3&d-cci=86&d-eid=4564802,d-eid,4564802,STONEWALL DEMOCRATS OF WNY,d-et,3,Non-Individual,7,900
dt=1&d-et=3&d-cci=86&d-eid=16869506,d-eid,16869506,DELAWARE RIGHT TO MARRY PAC,d-et,3,Non-Individual,2,900
dt=1&d-et=3&d-cci=86&d-eid=16869732,d-eid,16869732,DE RIGHT TO MARRY PAC,d-et,3,Non-Individual,3,900
dt=1&d-et=3&d-cci=86&d-eid=5397264,d-eid,5397264,VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND,d-et,3,Non-Individual,1,875.79
dt=1&d-et=3&d-cci=86&d-eid=1170523,d-eid,1170523,STONEWALL DEMOCRATIC CLUB ISSUES & ADVOCACY CMTE,d-et,3,Non-Individual,4,852.68
dt=1&d-et=3&d-cci=86&d-eid=9898324,d-eid,9898324,UTAH LOG CABIN REPUBLICANS,d-et,3,Non-Individual,2,850
dt=1&d-et=3&d-cci=86&d-eid=2813251,d-eid,2813251,PROGRESS PRINTING CORPORATION,d-et,3,Non-Individual,3,825
dt=1&d-et=3&d-cci=86&d-eid=4374016,d-eid,4374016,ST LOUIS NETWORK LLC,d-et,3,Non-Individual,1,805
dt=1&d-et=3&d-cci=86&d-eid=7942533,d-eid,7942533,SOUTH CAROLINA STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,800
dt=1&d-et=3&d-cci=86&d-eid=9980198,d-eid,9980198,NATIONAL LOG CABIN REPUBLICANS,d-et,3,Non-Individual,2,800
dt=1&d-et=3&d-cci=86&d-eid=1461852,d-eid,1461852,BAY STATE GAY & LESBIAN DEMOCRATS PAC,d-et,3,Non-Individual,3,750
dt=1&d-et=3&d-cci=86&d-eid=16523383,d-eid,16523383,WILLIAM & MARY GAY LESBIAN ALUMNI,d-et,3,Non-Individual,1,750
dt=1&d-et=3&d-cci=86&d-eid=5835588,d-eid,5835588,GLID A K A G & L INDEPENDENT DEMOCRATS,d-et,3,Non-Individual,3,700
dt=1&d-et=3&d-cci=86&d-eid=8659142,d-eid,8659142,BLACK HILLS AREA GAY & LESBIAN ASSOCIATION,d-et,3,Non-Individual,2,688
dt=1&d-et=3&d-cci=86&d-eid=7596950,d-eid,7596950,KANAWHA STONEWALL DEMOCRATS,d-et,3,Non-Individual,1,650
dt=1&d-et=3&d-cci=86&d-eid=11245202,d-eid,11245202,REPUBLICAN LIBERTY,d-et,3,Non-Individual,3,650
dt=1&d-et=3&d-cci=86&d-eid=15921697,d-eid,15921697,STONEWALL DEMOCRATS OF CENTRAL MARYLAND,d-et,3,Non-Individual,1,642.27
dt=1&d-et=3&d-cci=86&d-eid=16127656,d-eid,16127656,STONEWALL DEMOCRATS OF CENTRAL MARYLAND,d-et,3,Non-Individual,1,642.27
dt=1&d-et=3&d-cci=86&d-eid=6572532,d-eid,6572532,PFLAG DENVER,d-et,3,Non-Individual,1,639.04
dt=1&d-et=3&d-cci=86&d-eid=1502205,d-eid,1502205,STONEWALL DEMOCRATS OF PINELLAS,d-et,3,Non-Individual,3,617
dt=1&d-et=3&d-cci=86&d-eid=5215427,d-eid,5215427,TECHNO DYKE,d-et,3,Non-Individual,1,600
dt=1&d-et=3&d-cci=86&d-eid=9993878,d-eid,9993878,STANDING TOGETHER & RECLAIMING THE STATE/STARS,d-et,3,Non-Individual,3,577
dt=1&d-et=3&d-cci=86&d-eid=4003877,d-eid,4003877,KANSAS CITY PRIDE DEMOCRATIC CLUB,d-et,3,Non-Individual,2,575
dt=1&d-et=3&d-cci=86&d-eid=6860571,d-eid,6860571,GAY LESBIAN & BISEXUAL COMMUNITY,d-et,3,Non-Individual,2,561
dt=1&d-et=3&d-cci=86&d-eid=1494718,d-eid,1494718,PFLAG GENESEE COUNTY,d-et,3,Non-Individual,2,550
dt=1&d-et=3&d-cci=86&d-eid=8769938,d-eid,8769938,KANSAS DEMOCRATIC LBGT CAUCUS,d-et,3,Non-Individual,3,550
dt=1&d-et=3&d-cci=86&d-eid=8709376,d-eid,8709376,STONEWALL DEMOCRATS OF ARIZONA,d-et,3,Non-Individual,2,540
dt=1&d-et=3&d-cci=86&d-eid=229386,d-eid,229386,G V STONEWALL DEMOCRATIC CLUB,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=782680,d-eid,782680,ALICE B TOKLAS LESBIAN GAY DEMOCRATIC CLUB,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=1496461,d-eid,1496461,PFLAG LANSING,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=1518733,d-eid,1518733,LAMDA DEMOCRATS OF KEY WEST,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=1948683,d-eid,1948683,LOG CABIN REPUBLICANS OF TAMPA BAY,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=2096438,d-eid,2096438,WILLIAM BRYAN STRYKER ELECCONTRACTING INC,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=3473315,d-eid,3473315,LEGAL MARRIAGE ALLIANCE,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=3903298,d-eid,3903298,HARVEY MUGGY LESBIAN/GAY DEMOCRATS,d-et,3,Non-Individual,10,500
dt=1&d-et=3&d-cci=86&d-eid=4502832,d-eid,4502832,PRIVACY FUND,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=5211941,d-eid,5211941,PFLAG-EUGENE/SPRINGFIELD,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=5784767,d-eid,5784767,EAST END GAY ORG/EEGO,d-et,3,Non-Individual,2,500
dt=1&d-et=3&d-cci=86&d-eid=5872678,d-eid,5872678,NEW YORK STATE LOG CABIN REPUBLICANS,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=5914791,d-eid,5914791,EQUALITY VIRGINIA,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=6576014,d-eid,6576014,COLORADO GAY & LESBIAN ASSOCIATION,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=6648051,d-eid,6648051,NORTH CAROLINA EQUALITY,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=6778608,d-eid,6778608,GAY & LESBIAN POLITICAL ACTION & SUPPORT GROUP/GAYPASG,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=7240764,d-eid,7240764,INDIANA STONEWALL DEMOCRAT,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=8503338,d-eid,8503338,DELAWARE LIBERTY FUNDS,d-et,3,Non-Individual,2,500
dt=1&d-et=3&d-cci=86&d-eid=8683422,d-eid,8683422,LOUISIANA LESBIAN & GAY PAC LAGPAC,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=8705870,d-eid,8705870,ARIZONA TOGETHER,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=8929486,d-eid,8929486,KANSANS FOR FAIRNESS,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=9063404,d-eid,9063404,EQUALITY NEW MEXICO,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=9961521,d-eid,9961521,FAMILY EQUALITY,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=10003321,d-eid,10003321,MAINE WONT DISCRIMINATE,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=11517537,d-eid,11517537,STONEWALL DEMOCRATS OF AUSTIN,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=11518531,d-eid,11518531,AUSTIN GAY & LESBIAN INTERNATIONAL FILM FESTIVAL,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=16326362,d-eid,16326362,LOG CABIN REPUBLICANS OF MAIMI DADE,d-et,3,Non-Individual,4,500
dt=1&d-et=3&d-cci=86&d-eid=17001001,d-eid,17001001,SDC OF AR,d-et,3,Non-Individual,1,500
dt=1&d-et=3&d-cci=86&d-eid=8092427,d-eid,8092427,WESTERN MONTANA GAY & LESBIAN COMMUNITY,d-et,3,Non-Individual,3,497.5
dt=1&d-et=3&d-cci=86&d-eid=11519622,d-eid,11519622,PFLAG/DENTON COUNTY,d-et,3,Non-Individual,1,488
dt=1&d-et=3&d-cci=86&d-eid=2607800,d-eid,2607800,WASHINGTON STATE STONEWALL DEMOCRATS,d-et,3,Non-Individual,5,480
dt=1&d-et=3&d-cci=86&d-eid=1387650,d-eid,1387650,RAINBOW DEMOCRATIC CLUB,d-et,3,Non-Individual,4,475
dt=1&d-et=3&d-cci=86&d-eid=5212004,d-eid,5212004,PRIDE DAY CMTE,d-et,3,Non-Individual,1,450
dt=1&d-et=3&d-cci=86&d-eid=8678645,d-eid,8678645,SOUTHERN ARIZONA STONEWALL DEMOCRATS,d-et,3,Non-Individual,2,445
dt=1&d-et=3&d-cci=86&d-eid=1948906,d-eid,1948906,LOG CABIN REPUBLICANS PARTY OF BROWARD COUNTY,d-et,3,Non-Individual,1,442
dt=1&d-et=3&d-cci=86&d-eid=6011424,d-eid,6011424,HOUR OF POWER,d-et,3,Non-Individual,4,400
dt=1&d-et=3&d-cci=86&d-eid=6031750,d-eid,6031750,EQUALITY FAIRFAX,d-et,3,Non-Individual,1,400
dt=1&d-et=3&d-cci=86&d-eid=6316251,d-eid,6316251,JEFFCOUNTY DEMOCRATS GLBT CAUCUS,d-et,3,Non-Individual,1,400
dt=1&d-et=3&d-cci=86&d-eid=6375911,d-eid,6375911,VIRGINIA PARTISAN GAY & LESBIAN DEMO,d-et,3,Non-Individual,2,400
dt=1&d-et=3&d-cci=86&d-eid=172165,d-eid,172165,ALICE B TOKLAS LGBT DEMOCRATIC CLUB PAC,d-et,3,Non-Individual,1,396
dt=1&d-et=3&d-cci=86&d-eid=1494325,d-eid,1494325,PRIDE SOURCE MEDIA,d-et,3,Non-Individual,2,379
dt=1&d-et=3&d-cci=86&d-eid=8617698,d-eid,8617698,WINGSPAN,d-et,3,Non-Individual,1,375
dt=1&d-et=3&d-cci=86&d-eid=9392126,d-eid,9392126,ASTRAEA FOUNDATION,d-et,3,Non-Individual,1,350
dt=1&d-et=3&d-cci=86&d-eid=1495559,d-eid,1495559,TRIANGLE FOUNDATION,d-et,3,Non-Individual,2,335
dt=1&d-et=3&d-cci=86&d-eid=8290500,d-eid,8290500,CSRA RAINBOW ALLIANCE,d-et,3,Non-Individual,2,302
dt=1&d-et=3&d-cci=86&d-eid=942850,d-eid,942850,PFLAG DOWNRIVER,d-et,3,Non-Individual,2,300
dt=1&d-et=3&d-cci=86&d-eid=1495615,d-eid,1495615,WASHTENAW RAINBOW ACTION PROJECT,d-et,3,Non-Individual,1,300
dt=1&d-et=3&d-cci=86&d-eid=7600083,d-eid,7600083,GEORGIA LOG CABIN REPUBLICANS,d-et,3,Non-Individual,2,300
dt=1&d-et=3&d-cci=86&d-eid=7875309,d-eid,7875309,LOVE MAKES A FAMILY PAC,d-et,3,Non-Individual,1,300
dt=1&d-et=3&d-cci=86&d-eid=9568225,d-eid,9568225,MARRIAGE EQUALITY RHODE ISLAND,d-et,3,Non-Individual,4,300
dt=1&d-et=3&d-cci=86&d-eid=5217334,d-eid,5217334,PARENTS FAMILIES FRIENDS OF LESBIANS & GAYS/PFLAG,d-et,3,Non-Individual,4,290
dt=1&d-et=3&d-cci=86&d-eid=693672,d-eid,693672,LAKE COUNTY STONEWALL DEMOCRATIC CLUB,d-et,3,Non-Individual,1,281
dt=1&d-et=3&d-cci=86&d-eid=615522,d-eid,615522,GAY & LESBIAN LABOR ACTIVIST PAC,d-et,3,Non-Individual,3,275
dt=1&d-et=3&d-cci=86&d-eid=5212939,d-eid,5212939,LGBT POLITICAL CAUCUS OF SO OREGON,d-et,3,Non-Individual,1,260
dt=1&d-et=3&d-cci=86&d-eid=592665,d-eid,592665,STONEWALL DEMOCRATS SAUGATUCK,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=822214,d-eid,822214,BSG&L DEMOCRATS PAC INC,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=1026169,d-eid,1026169,STONEWALL DEMOCRATIC CMTE,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=1077696,d-eid,1077696,STONEWALL DEMOCRATES,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=1579264,d-eid,1579264,LOG CABIN CLUB OF EASTERN MASSACHUSETTS,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=1587086,d-eid,1587086,STONEWALL DEMOCRATIC CLUB 1247892,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=1949399,d-eid,1949399,GAY & LESBIAN DEMOCRATS PAC,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=1965472,d-eid,1965472,MI PRIDE PAC,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=4252043,d-eid,4252043,PRIVACY FUND/HANDS OFF WA,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=4976379,d-eid,4976379,STONEWALL DEMOCRATICS OF WNY,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=5577527,d-eid,5577527,GAY & LESBIAN INDEPENDENT DEMOCRATS/GLID,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=5939646,d-eid,5939646,PRIDE OF PHILADELPHIA ELECTION COMM,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=5950383,d-eid,5950383,PRIDE OF PHILADELPHIA ELECTION COMM,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=6029419,d-eid,6029419,THE GAY & LESBIAN ACTIVIST,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=6572128,d-eid,6572128,PFLAG DILLON SUMMIT COUNTY,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=8929474,d-eid,8929474,CITIZENS FOR FAIRNESS,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=9323096,d-eid,9323096,NM LESBIAN &GAY POLITICAL ALLIANCE,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=10057224,d-eid,10057224,ME WONT DISCRIMINATE,d-et,3,Non-Individual,1,250
dt=1&d-et=3&d-cci=86&d-eid=16519316,d-eid,16519316,STONEWALL DEMOCRATS OFTHERIO GRANDE VALLEY,d-et,3,Non-Individual,1,250
