Interest Group,Year,Party Committee,Amount Contributed
HUMAN RIGHTS CAMPAIGN,2010,ARIZONA DEMOCRATIC PARTY,5000.00
HUMAN RIGHTS CAMPAIGN,2014,ALASKA DEMOCRATIC PARTY,5000.00
HUMAN RIGHTS CAMPAIGN,2014,GEORGIA DEMOCRATIC PARTY,5000.00
HUMAN RIGHTS CAMPAIGN,2014,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,5000.00
HUMAN RIGHTS CAMPAIGN,2016,ILLINOIS DEMOCRATIC PARTY,5000.00
HUMAN RIGHTS CAMPAIGN,2018,DEMOCRATIC NATIONAL CMTE,5000.00
HUMAN RIGHTS CAMPAIGN,2019,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,5000.00
HUMAN RIGHTS CAMPAIGN,2008,OHIO DEMOCRATIC PARTY,4587.43
HUMAN RIGHTS CAMPAIGN,2014,NEVADA SENATE DEMOCRATS,4531.97
HUMAN RIGHTS CAMPAIGN,2018,PENNSYLVANIA DEMOCRATIC PARTY,4309.98
HUMAN RIGHTS CAMPAIGN,2008,NEVADA DEMOCRATIC PARTY,3221.93
HUMAN RIGHTS CAMPAIGN,2018,VERMONT DEMOCRATIC PARTY,2854.06
HUMAN RIGHTS CAMPAIGN,2008,NEW HAMPSHIRE DEMOCRATIC PARTY,2821.43
HUMAN RIGHTS CAMPAIGN,2008,NEW MEXICO DEMOCRATIC PARTY,2821.43
HUMAN RIGHTS CAMPAIGN,2018,NEW HAMPSHIRE DEMOCRATIC PARTY,2429.39
HUMAN RIGHTS CAMPAIGN,2001,VERMONT SENATE VICTORY,2000.00
HUMAN RIGHTS CAMPAIGN,2006,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2000.00
HUMAN RIGHTS CAMPAIGN,2006,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,2000.00
HUMAN RIGHTS CAMPAIGN,2010,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,2000.00
HUMAN RIGHTS CAMPAIGN,2010,NEBRASKA DEMOCRATIC PARTY,1500.00
HUMAN RIGHTS CAMPAIGN,2016,NEW HAMPSHIRE DEMOCRATIC PARTY,1500.00
HUMAN RIGHTS CAMPAIGN,2014,ARKANSAS DEMOCRATIC PARTY,1250.00
HUMAN RIGHTS CAMPAIGN,2018,MAINE DEMOCRATIC PARTY,1032.37
HUMAN RIGHTS CAMPAIGN,2000,VERMONT DEMOCRATIC PARTY,1000.00
HUMAN RIGHTS CAMPAIGN,2001,NEW YORK STATE DEMOCRATIC PARTY,1000.00
HUMAN RIGHTS CAMPAIGN,2001,VERMONT DEMOCRATIC PARTY,1000.00
HUMAN RIGHTS CAMPAIGN,2002,VERMONT DEMOCRATIC PARTY,1000.00
HUMAN RIGHTS CAMPAIGN,2010,OHIO DEMOCRATIC PARTY,1000.00
HUMAN RIGHTS CAMPAIGN,2013,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,1000.00
HUMAN RIGHTS CAMPAIGN,2018,MISSOURI DEMOCRATIC PARTY,799.57
HUMAN RIGHTS CAMPAIGN,2019,WISCONSIN DEMOCRATIC PARTY,750.00
HUMAN RIGHTS CAMPAIGN,2002,NEVADA DEMOCRATIC PARTY,721.50
HUMAN RIGHTS CAMPAIGN,2016,IOWA DEMOCRATIC PARTY,628.85
HUMAN RIGHTS CAMPAIGN,2018,MISSISSIPPI DEMOCRATIC PARTY,500.00
HUMAN RIGHTS CAMPAIGN,2002,TEXAS DEMOCRATIC PARTY,400.00
HUMAN RIGHTS CAMPAIGN,2005,HOUSE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,150.00
HUMAN RIGHTS CAMPAIGN,2005,SENATE DEMOCRATIC CAMPAIGN CMTE OF WASHINGTON,150.00
HUMAN RIGHTS CAMPAIGN,2018,MICHIGAN DEMOCRATIC PARTY,150.00
HUMAN RIGHTS CAMPAIGN,2000,VERMONT SENATE VICTORY,0.00
EQUALITY CALIFORNIA,2019,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,2500.00
GILL ACTION FUND,2007,SENATE DEMOCRATIC CAMPAIGN CMTE OF MAINE,15000.00
GILL ACTION FUND,2007,HOUSE DEMOCRATIC CAMPAIGN CMTE OF MAINE,15000.00
GILL ACTION FUND,2007,NEW JERSEY DEMOCRATIC PARTY,10000.00
GILL ACTION FUND,2013,HOUSE DEMOCRATS OF DELAWARE,5000.00
GILL ACTION FUND,2008,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,3505.10
GILL ACTION FUND,2008,IDAHO DEMOCRATIC PARTY,2500.00
GILL ACTION FUND,2008,NEW MEXICO DEMOCRATIC PARTY,2000.00
GILL ACTION FUND,2008,VERMONT DEMOCRATIC PARTY,2000.00
GILL ACTION FUND,2009,NEW MEXICO DEMOCRATIC PARTY,2000.00
FREEDOM TO MARRY,2009,MAINE DEMOCRATIC PARTY,2385.00
NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY,0,0,0
GAY & LESBIAN VICTORY FUND,2004,NORTH CAROLINA DEMOCRATIC PARTY,36000.00
GAY & LESBIAN VICTORY FUND,2014,MAINE DEMOCRATIC PARTY,15500.00
GAY & LESBIAN VICTORY FUND,2009,OHIO DEMOCRATIC PARTY,500.00
NATIONAL GAY & LESBIAN TASK FORCE,0,0,0
EMPIRE STATE PRIDE AGENDA,2008,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,94200.00
EMPIRE STATE PRIDE AGENDA,2008,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,51500.00
EMPIRE STATE PRIDE AGENDA,2012,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,35000.00
EMPIRE STATE PRIDE AGENDA,2008,NEW YORK STATE DEMOCRATIC PARTY,31000.00
EMPIRE STATE PRIDE AGENDA,2010,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,25000.00
EMPIRE STATE PRIDE AGENDA,2014,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,22000.00
EMPIRE STATE PRIDE AGENDA,2012,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,21500.00
EMPIRE STATE PRIDE AGENDA,2011,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,20000.00
EMPIRE STATE PRIDE AGENDA,2013,NEW YORK STATE DEMOCRATIC PARTY,11000.00
EMPIRE STATE PRIDE AGENDA,2001,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,10000.00
EMPIRE STATE PRIDE AGENDA,2000,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,8500.00
EMPIRE STATE PRIDE AGENDA,1998,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,7500.00
EMPIRE STATE PRIDE AGENDA,2003,NEW YORK STATE DEMOCRATIC PARTY,5100.00
EMPIRE STATE PRIDE AGENDA,1999,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,5000.00
EMPIRE STATE PRIDE AGENDA,2015,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,4000.00
EMPIRE STATE PRIDE AGENDA,2003,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,2600.00
EMPIRE STATE PRIDE AGENDA,2002,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,2500.00
EMPIRE STATE PRIDE AGENDA,2007,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,2500.00
EMPIRE STATE PRIDE AGENDA,2014,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,2500.00
EMPIRE STATE PRIDE AGENDA,2015,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,2500.00
