Interest Group,Year,Party Committee,Amount Contributed
DELAWARE STONEWALL DEMOCRATS,2003,DELAWARE DEMOCRATIC PARTY,1000.00
DELAWARE STONEWALL DEMOCRATS,2005,DELAWARE DEMOCRATIC PARTY,125.00
DELAWARE STONEWALL DEMOCRATS,2007,DELAWARE DEMOCRATIC PARTY,100.00
FAIRNESS FUND,2008,IOWA DEMOCRATIC PARTY,30000.00
FAIRNESS FUND,2009,IOWA DEMOCRATIC PARTY,8738.81
FAIRNESS FUND,2010,IOWA DEMOCRATIC PARTY,1125.00
GLBTQ LEGAL ADVOCATES & DEFENDERS INC,0,0,0
INDIANA STONEWALL DEMOCRATS,2010,INDIANA DEMOCRATIC PARTY,1250.00
INDIANA STONEWALL DEMOCRATS,2011,INDIANA DEMOCRATIC PARTY,875.00
INDIANA STONEWALL DEMOCRATS,2005,INDIANA DEMOCRATIC PARTY,750.00
INDIANA STONEWALL DEMOCRATS,2004,INDIANA HOUSE DEMOCRATIC CAUCUS,600.00
INDIANA STONEWALL DEMOCRATS,2002,INDIANA DEMOCRATIC PARTY,525.00
INDIANA STONEWALL DEMOCRATS,2003,INDIANA DEMOCRATIC PARTY,500.00
INDIANA STONEWALL DEMOCRATS,2018,INDIANA DEMOCRATIC PARTY,500.00
INDIANA STONEWALL DEMOCRATS,2003,INDIANA HOUSE DEMOCRATIC CAUCUS,250.00
INDIANA STONEWALL DEMOCRATS,2012,INDIANA DEMOCRATIC PARTY,250.00
INDIANA STONEWALL DEMOCRATS,2017,INDIANA DEMOCRATIC PARTY,250.00
RIGHT TO PRIVACY PAC,0,0,0
EQUALITY SOUTH DAKOTA,0,0,0
FAMILY EQUALITY COUNCIL,0,0,0
TWO SISTERS & A WIFE FOUNDATION,0,0,0
MICHIGAN PRIDE,2002,MICHIGAN HOUSE DEMOCRATIC FUND,100.00
MINNESOTA UNITED PAC,2013,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,20000.00
MINNESOTA UNITED PAC,2013,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,10000.00
NATIONAL CENTER FOR LESBIAN RIGHTS,0,0,0
GARDEN STATE EQUALITY,2009,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,9000.00
GARDEN STATE EQUALITY,2007,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,7500.00
GARDEN STATE EQUALITY,2006,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,2000.00
GARDEN STATE EQUALITY,2009,NEW JERSEY DEMOCRATIC PARTY,1000.00
KEVIN J MOSSIER FOUNDATION,0,0,0
GARDEN STATE EQUALITY LLC,2007,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,25000.00
GARDEN STATE EQUALITY LLC,2008,NEW JERSEY DEMOCRATIC PARTY,5000.00
GARDEN STATE EQUALITY LLC,2007,NEW JERSEY DEMOCRATIC PARTY,3800.00
GARDEN STATE EQUALITY LLC,2008,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,1500.00
LESBIAN EQUITY FOUNDATION,0,0,0
GAY & LESBIAN RESOURCE CENTER IOWA,2002,IOWA DEMOCRATIC PARTY,50000.00
NO NONSENSE IN NOVEMBER,0,0,0
MAINERS UNITED FOR MARRIAGE,0,0,0
GREATER BOSTON PFLAG,0,0,0
JLS OPERATIONS,2010,IOWA DEMOCRATIC PARTY,25000.00
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2002,VIRGINIA DEMOCRATIC PARTY,1225.75
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2001,VIRGINIA DEMOCRATIC PARTY,105.40
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2000,VIRGINIA DEMOCRATIC PARTY,20.40
PRIVACY FUND,0,0,0
ALLIANCE FOR FULL ACCEPTANCE,0,0,0
EQUALITY NEW MEXICO,2016,NEW MEXICO DEMOCRATIC PARTY,2500.00
EQUALITY NEW MEXICO,2004,NEW MEXICO DEFENSE FUND,1000.00
EQUALITY NEW MEXICO,2006,NEW MEXICO DEFENSE FUND,1000.00
EQUALITY NEW MEXICO,2018,NEW MEXICO DEMOCRATIC PARTY,1000.00
EQUALITY NEW MEXICO,2007,NEW MEXICO DEMOCRATIC PARTY,200.00
EQUALITY NEW MEXICO,2005,NEW MEXICO DEMOCRATIC PARTY,125.00
VERMONT FUND FOR FAMILIES,2002,VERMONT SENATE VICTORY,2000.00
VERMONT FUND FOR FAMILIES,2009,VERMONT DEMOCRATIC PARTY,2000.00
VERMONT FUND FOR FAMILIES,2010,VERMONT DEMOCRATIC HOUSE CAUCUS,1500.00
VERMONT FUND FOR FAMILIES,2002,VERMONT DEMOCRATIC HOUSE CAUCUS,1000.00
VERMONT FUND FOR FAMILIES,2004,VERMONT DEMOCRATIC HOUSE CAUCUS,1000.00
VERMONT FUND FOR FAMILIES,2004,VERMONT DEMOCRATIC PARTY,1000.00
VERMONT FUND FOR FAMILIES,2004,VERMONT SENATE VICTORY,1000.00
VERMONT FUND FOR FAMILIES,2005,VERMONT DEMOCRATIC PARTY,1000.00
VERMONT FUND FOR FAMILIES,2008,VERMONT DEMOCRATIC PARTY,1000.00
VERMONT FUND FOR FAMILIES,2009,VERMONT SENATE VICTORY,1000.00
VERMONT FUND FOR FAMILIES,2011,VERMONT DEMOCRATIC PARTY,870.00
VERMONT FUND FOR FAMILIES,2006,VERMONT DEMOCRATIC HOUSE CAUCUS,825.00
VERMONT FUND FOR FAMILIES,2003,VERMONT DEMOCRATIC PARTY,750.00
VERMONT FUND FOR FAMILIES,2006,VERMONT SENATE VICTORY,625.00
VERMONT FUND FOR FAMILIES,2003,VERMONT DEMOCRATIC HOUSE CAUCUS,500.00
VERMONT FUND FOR FAMILIES,2005,VERMONT DEMOCRATIC HOUSE CAUCUS,500.00
VERMONT FUND FOR FAMILIES,2007,VERMONT DEMOCRATIC HOUSE CAUCUS,500.00
VERMONT FUND FOR FAMILIES,2007,VERMONT DEMOCRATIC PARTY,500.00
VERMONT FUND FOR FAMILIES,2009,VERMONT DEMOCRATIC HOUSE CAUCUS,500.00
VERMONT FUND FOR FAMILIES,2006,VERMONT DEMOCRATIC PARTY,200.00
CLEVELAND STONEWALL DEMOCRATS,2010,OHIO DEMOCRATIC PARTY,1500.00
CLEVELAND STONEWALL DEMOCRATS,2008,OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS,1000.00
CLEVELAND STONEWALL DEMOCRATS,2016,OHIO DEMOCRATIC PARTY,1000.00
CLEVELAND STONEWALL DEMOCRATS,2004,OHIO SENATE DEMOCRATIC CAUCUS,600.00
CLEVELAND STONEWALL DEMOCRATS,2009,OHIO DEMOCRATIC PARTY,200.00
CLEVELAND STONEWALL DEMOCRATS,2008,OHIO DEMOCRATIC PARTY,100.00
LOG CABIN REPUBLICANS OF CALIFORNIA,0,0,0
LGBT MENTORING PROJECT,0,0,0
TEXAS STONEWALL DEMOCRATIC CAUCUS,2012,TEXAS DEMOCRATIC PARTY,1600.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2008,TEXAS DEMOCRATIC PARTY,1400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2014,TEXAS DEMOCRATIC PARTY,1400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2018,TEXAS DEMOCRATIC PARTY,1000.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2016,TEXAS DEMOCRATIC PARTY,500.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2002,TEXAS DEMOCRATIC PARTY,400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2004,TEXAS DEMOCRATIC PARTY,400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2006,TEXAS DEMOCRATIC PARTY,400.00
PROTECT MAINE EQUALITY,0,0,0
REPUBLICAN UNITY COALITION,0,0,0
NO NONSENSE IN 2006,0,0,0
LESBIAN / GAY RIGHTS LOBBY OF TEXAS CALKIN FUND,0,0,0
MICH PRIDE PAC,1999,MICHIGAN HOUSE DEMOCRATIC FUND,250.00
FAIR WISCONSIN,0,0,0
DELAWARE LIBERTY FUND,0,0,0
EQUALITY NC ACTION FUND,0,0,0
CALIFORNIA MARRIAGE PAC,2010,CALIFORNIA DEMOCRATIC PARTY,1000.00
FAIRNESS FOR ALL FAMILIES,0,0,0
FLORIDA RED & BLUE,0,0,0
LAMBDA LEGAL,0,0,0
LESBIAN POLITICAL ACTION CMTE,0,0,0
PRIDE SOURCE MEDIA GROUP,0,0,0
PARENTS FAMILIES & FRIENDS OF LESBIANS & GAYS (PFLAG) NATIONAL OFFICE,0,0,0
CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,0,0,0
STONEWALL DEMOCRATS OF DALLAS,2016,TEXAS DEMOCRATIC PARTY,900.00
STONEWALL DEMOCRATS OF DALLAS,2004,TEXAS DEMOCRATIC PARTY,250.00
STONEWALL DEMOCRATS OF DALLAS,2013,TEXAS DEMOCRATIC PARTY,200.00
STONEWALL DEMOCRATS OF DALLAS,2014,TEXAS DEMOCRATIC PARTY,100.00
ARIZONA HUMAN RIGHTS FUND,2004,ARIZONA DEMOCRATIC PARTY,5000.00
EQUALITY PENNSYLVANIA,0,0,0
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2017,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,3547.25
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2008,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2650.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2000,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2583.09
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2006,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2500.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2005,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2010,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,2225.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2004,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,1250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2009,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,1250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2002,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,1000.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2003,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,1000.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2015,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2000,DEMOCRATIC-FARMER-LABOR SENATE CAUCUS OF MINNESOTA,65.00
OHIOANS FOR GROWTH & EQUALITY,0,0,0
DESERT STONEWALL DEMOCRATS,0,0,0
STONEWALL DEMOCRATS OF SAN ANTONIO,0,0,0
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2014,KENTUCKY HOUSE DEMOCRATIC CAUCUS,1000.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2016,KENTUCKY HOUSE DEMOCRATIC CAUCUS,1000.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2012,KENTUCKY SENATE DEMOCRATIC CAUCUS,500.00
QLAW,0,0,0
TENNESSEE EQUALITY PROJECT,0,0,0
ONE IOWA,2008,IOWA DEMOCRATIC PARTY,17344.00
ONE IOWA,2007,IOWA DEMOCRATIC PARTY,265.00
WASHINGTON WONT DISCRIMINATE,2006,WASHINGTON STATE DEMOCRATIC PARTY,300.00
STONEWALL DEMOCRATS OF TARRANT COUNTY,0,0,0
FAIRNESS CAMPAIGN,0,0,0
HUMAN RIGHTS LEAGUE,2009,ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN,3000.00
HUMAN RIGHTS LEAGUE,2009,STATE SENATE DEMOCRATIC CMTE OF WISCONSIN,3000.00
UNITY UTAH,2002,UTAH DEMOCRATIC PARTY,4000.00
UNITY UTAH,2004,UTAH DEMOCRATIC PARTY,1500.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2013,FLORIDA DEMOCRATIC PARTY,4600.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2010,FLORIDA DEMOCRATIC PARTY,4390.40
FLORIDA GLBT DEMOCRATIC CAUCUS,2014,FLORIDA DEMOCRATIC PARTY,1750.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2016,FLORIDA DEMOCRATIC PARTY,1500.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2009,FLORIDA DEMOCRATIC PARTY,842.95
FLORIDA GLBT DEMOCRATIC CAUCUS,2007,FLORIDA DEMOCRATIC PARTY,569.35
FLORIDA GLBT DEMOCRATIC CAUCUS,2017,FLORIDA DEMOCRATIC PARTY,450.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2015,FLORIDA DEMOCRATIC PARTY,270.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2008,FLORIDA DEMOCRATIC PARTY,250.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2011,FLORIDA DEMOCRATIC PARTY,210.00
STONEWALL DEMOCRATS OF DENTON COUNTY,2008,TEXAS DEMOCRATIC PARTY,110.00
PRIDE INC,0,0,0
JOHNSON FAMILY FOUNDATION,0,0,0
VERMONTERS FOR CIVIL UNIONS,2000,VERMONT DEMOCRATIC HOUSE CAUCUS,2000.00
VERMONTERS FOR CIVIL UNIONS,2000,VERMONT SENATE VICTORY,2000.00
VERMONTERS FOR CIVIL UNIONS,2001,VERMONT SENATE VICTORY,2000.00
VERMONTERS FOR CIVIL UNIONS,2001,VERMONT DEMOCRATIC HOUSE CAUCUS,1000.00
VERMONTERS FOR CIVIL UNIONS,2002,VERMONT DEMOCRATIC HOUSE CAUCUS,1000.00
VERMONTERS FOR CIVIL UNIONS,2003,VERMONT DEMOCRATIC PARTY,1000.00
GAYPASG PAC,2004,NEW JERSEY DEMOCRATIC PARTY,1500.00
GAYPASG PAC,2007,NEW JERSEY DEMOCRATIC PARTY,1250.00
GAYPASG PAC,2005,NEW JERSEY DEMOCRATIC PARTY,950.00
GAYPASG PAC,2002,NEW JERSEY DEMOCRATIC PARTY,450.00
GAYPASG PAC,2003,NEW JERSEY DEMOCRATIC PARTY,450.00
GAYPASG PAC,2006,NEW JERSEY DEMOCRATIC PARTY,450.00
GAY LESBIAN BISEXUAL & TRANSGENDER DEMOCRATS & ALLIES OF JEFFERSON COUNTY GLBT,2012,COLORADO DEMOCRATIC PARTY,500.00
TRIANGLE PRIDE PAC,2006,MICHIGAN HOUSE DEMOCRATIC FUND,75.00
VA PARTISANS,2005,VIRGINIA DEMOCRATIC PARTY,529.05
VA PARTISANS,2004,VIRGINIA DEMOCRATIC PARTY,200.00
MAINE COALITION FOR EQUAL RIGHTS,2000,MAINE DEMOCRATIC PARTY,12550.00
CIMARRON EQUALITY OKLAHOMA,2012,OKLAHOMA DEMOCRATIC PARTY,5000.00
UTAH STONEWALL DEMOCRATS,0,0,0
GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,0,0,0
EQUALITY OHIO,2008,OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS,5000.00
EQUALITY FEDERATION,0,0,0
VIRGINIA LOG CABIN REPUBLICANS OF NOVA,0,0,0
CENTER ADVOCATES,2007,ASSEMBLY DEMOCRATIC CAMPAIGN CMTE OF WISCONSIN,2000.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2010,OHIO DEMOCRATIC PARTY,1000.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2009,OHIO DEMOCRATIC PARTY,250.00
LOG CABIN REPUBLICANS OF NEW HAMPSHIRE,0,0,0
CAPITAL REGION STONEWALL DEMOCRATS,2015,PENNSYLVANIA DEMOCRATIC PARTY,100.00
PFLAG OF WASHINGTON METROPOLITAN AREA,0,0,0
PRIDEFEST,0,0,0
NO ON PROP 102 CMTE,0,0,0
CAMPAIGN FOR ALL DC FAMILIES,0,0,0
BAY STATE GAY & LESBIAN DEMOCRATS,2002,MASSACHUSETTS DEMOCRATIC PARTY,450.00
BAY STATE GAY & LESBIAN DEMOCRATS,2008,MASSACHUSETTS DEMOCRATIC PARTY,200.00
BAY STATE GAY & LESBIAN DEMOCRATS,2000,MASSACHUSETTS DEMOCRATIC PARTY,100.00
STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,2015,TEXAS DEMOCRATIC PARTY,50.40
HARVEY MILK LGBT DEMOCRATIC CLUB,0,0,0
STONEWALL DEMOCRATIC CLUB,0,0,0
STONEWALL DEMOCRATS,2006,UTAH DEMOCRATIC PARTY,750.00
STONEWALL DEMOCRATS,2009,UTAH DEMOCRATIC PARTY,500.00
STONEWALL DEMOCRATS,2003,COLORADO DEMOCRATIC PARTY,105.00
STONEWALL YOUNG DEMOCRATS,0,0,0
CMTE FOR FAIRNESS,0,0,0
BASIC RIGHTS OF OREGON PAC,1998,OREGON DEMOCRATIC PARTY,5000.00
BASIC RIGHTS OF OREGON PAC,2000,OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE,500.00
BASIC RIGHTS OF OREGON PAC,2000,OREGON SENATE DEMOCRATIC CAMPAIGN CMTE,250.00
NEW HAMPSHIRE STONEWALL DEMOCRATS,2006,NEW HAMPSHIRE DEMOCRATIC PARTY,7500.00
NEW HAMPSHIRE STONEWALL DEMOCRATS,2010,CMTE TO ELECT HOUSE DEMOCRATS OF NEW HAMPSHIRE,250.00
NEW HAMPSHIRE STONEWALL DEMOCRATS,2010,NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS,200.00
NEW HAMPSHIRE STONEWALL DEMOCRATS,2010,NEW HAMPSHIRE DEMOCRATIC PARTY,100.00
KENTUCKY FAIRNESS ALLIANCE ACTION FUND,0,0,0
PRIDE PROJECT,0,0,0
BWB PROPERTIES,2006,UTAH CMTE FOR A DEMOCRATIC MAJORITY,1500.00
BWB PROPERTIES,2008,UTAH CMTE FOR A DEMOCRATIC MAJORITY,1500.00
VIRGINIA PARTISAN PAC,2002,VIRGINIA DEMOCRATIC PARTY,1214.17
VIRGINIA PARTISAN PAC,2003,VIRGINIA DEMOCRATIC PARTY,1044.28
VIRGINIA PARTISAN PAC,2000,VIRGINIA DEMOCRATIC PARTY,520.00
VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND,0,0,0
GAY & LESBIAN ADVOCATES & DEFENDERS,0,0,0
MARRIAGE EQUALITY USA,0,0,0
GLBT FRIENDS OF GOOD GOVERNMENT,0,0,0
SUMMIT COUNTY PFLAG,0,0,0
TEP-PAC,2008,HOUSE SENATE DEMOCRATIC CAUCUS OF TENNESSEE,250.00
TEP-PAC,2009,SENATE DEMOCRATIC CAUCUS OF TENNESSEE,100.00
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY,0,0,0
KENTUCKY FAIRNESS ALLIANCE ACTION,0,0,0
LAGPAC,2001,LOUISIANA DEMOCRATIC PARTY,250.00
PINELLAS STONEWALL PAC,0,0,0
OHIO STONEWALL DEMOCRATS,2006,OHIO DEMOCRATIC PARTY,5000.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,0,0,0
MID-COAST FOR MARRIAGE EQUALITY,0,0,0
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY (GLOBE) OF SOUTHERN ALAMEDA COUNTY,0,0,0
THE CENTER,0,0,0
CALIFORNIANS FOR FAIRNESS,2000,VERMONT DEMOCRATIC PARTY,2000.00
CALIFORNIANS FOR FAIRNESS,2000,VERMONT SENATE VICTORY,2000.00
CALIFORNIANS FOR FAIRNESS,2000,VERMONT DEMOCRATIC HOUSE CAUCUS,1000.00
NATIONAL GAY & LESBIAN TASK FORCE ACTION FUND,0,0,0
STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,0,0,0
ME WONT DISCRIMINATE,0,0,0
WASHINGTON UNITED FOR MARRIAGE,2012,WASHINGTON STATE DEMOCRATIC PARTY,4850.00
SEATTLE GAY NEWS,0,0,0
ATLANTA STONEWALL DEMOCRATS,2007,GEORGIA DEMOCRATIC PARTY,2000.00
GLC FOR FAIRNESS,0,0,0
ARIZONA STONEWALL DEMOCRATS,2000,ARIZONA DEMOCRATIC PARTY,3000.00
ARIZONA STONEWALL DEMOCRATS,2002,ARIZONA DEMOCRATIC PARTY,1550.00
EQUALITY NEW HAMPSHIRE,0,0,0
NO ON 1 PROTECT MAINE EQUALITY,2009,MAINE DEMOCRATIC PARTY,4414.00
EQUAL RIGHTS ACTION,2010,DEMOCRATIC SENATE CAMPAIGN FUND OF COLORADO,750.00
EQUAL RIGHTS ACTION,2010,COLORADO DEMOCRATIC HOUSE CAUCUS,750.00
EQUAL RIGHTS ACTION,2011,COLORADO DEMOCRATIC PARTY,400.00
LOG CABIN REPUBLICANS OF VIRGINIA,0,0,0
TARRANT COUNTY STONEWALL DEMOCRATS,0,0,0
HOUSTON EQUAL RIGHTS ALLIANCE / HERA,0,0,0
STONEWALL DEMOCRATIC CLUB OF ARKANSAS,2005,ARKANSAS DEMOCRATIC PARTY,1500.00
STONEWALL DEMOCRATIC CLUB OF ARKANSAS,2007,ARKANSAS DEMOCRATIC PARTY,1500.00
STONEWALL DEMOCRATIC CLUB OF ARKANSAS,2006,ARKANSAS DEMOCRATIC PARTY,1000.00
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,0,0,0
OKLAHOMA STONEWALL DEMOCRATS,2010,OKLAHOMA DEMOCRATIC PARTY,125.00
STONEWALL DEMOCRATIC CLUB,0,0,0
MID-COAST WONT DISCRIMINATE,0,0,0
STONEWALL DEMOCRATIC CAUCUS,0,0,0
LANSING ASSOCIATION FOR HUMAN RIGHTS,0,0,0
GAY & LESBIAN INDEPENDENT DEMOCRATS,0,0,0
BAY STATE STONEWALL DEMOCRATS,0,0,0
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2006,OKLAHOMA DEMOCRATIC HOUSE CMTE,1000.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2002,OKLAHOMA DEMOCRATIC PARTY,500.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2003,OKLAHOMA DEMOCRATIC PARTY,500.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2006,OKLAHOMA DEMOCRATIC PARTY,250.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2007,OKLAHOMA DEMOCRATIC HOUSE CMTE,250.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2007,OKLAHOMA DEMOCRATIC PARTY,220.00
NASSAU COUNTY LESBIAN & GAY DEMOCRATS,0,0,0
FAMILIES FOR A BETTER IDAHO,0,0,0
VICTORY FUND PAC,0,0,0
RAINBOW EQUALITY,0,0,0
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE,0,0,0
GLID,2002,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,1000.00
STONEWALL DEMOCRATS OF ARKANSAS,0,0,0
STONEWALL DEMOCRATIC CLUB - ISSUES & ADVOCACY CMTE,0,0,0
COALITION FOR ADOPTION RIGHTS EQUALITY,0,0,0
PFLAG TREASURE VALLEY,0,0,0
BOULDER PRIDE,0,0,0
LOG CABIN REPUBLICANS OF NW OHIO,0,0,0
BASIC RIGHTS OF OR ELECT PAC 3087,0,0,0
LOG CABIN REPUBLICANS HUDSON VALLEY,0,0,0
LAMBDA DEMOCRATS OF KEY WEST,0,0,0
BASIC RIGHTS OF OREGON ELECT PAC 3087,0,0,0
NATIONAL STONEWALL DEMOCRATS,0,0,0
LOG CABIN REPUBLICAN CLUB OF VIRGINIA,0,0,0
GATEWAY STONEWALL DEMOCRATS,0,0,0
LESBIAN COMMUNITY PROJECT OF MID-MISSOURI,0,0,0
LONG BEACH LAMBDA DEMOCRATIC CLUB,1998,CALIFORNIA DEMOCRATIC PARTY,150.00
NATIONAL RAINBOW COALITION,0,0,0
GEORGIA STONEWALL DEMOCRATS,2000,GEORGIA DEMOCRATIC PARTY,2000.00
PFLAG BOULDER,0,0,0
FLINT HILLS PFLAG,0,0,0
BROWARD LOG CABIN CLUB,0,0,0
MARYLAND FOR ALL FAMILIES,0,0,0
GAY & LESBIAN VOTERS PAC,0,0,0
RAINBOW ALLIANCE,0,0,0
EQUALITY ARIZONA,2010,ARIZONA DEMOCRATIC PARTY,750.00
LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA,0,0,0
KANSAS DEMOCRATIC CAUCUS LGBT,0,0,0
GAY & LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY,0,0,0
MONTCALM COUNTY REPUBLICANS,0,0,0
AMERICAN AIDS,2000,VERMONT DEMOCRATIC PARTY,1000.00
AMERICAN AIDS,2009,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,1000.00
STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY,0,0,0
GAY PASG PAC,0,0,0
RAINBOW BUSINESS & PROFESSIONAL ASSOCIATION,0,0,0
GAY OREGON LESBIAN DOLLARS PAC,0,0,0
GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY,0,0,0
LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,0,0,0
LOVE MAKES A FAMILY PAC,0,0,0
INLAND EMPIRE LESBIAN & GAY DEMOCRATIC CLUB,0,0,0
THOMAS JEFFERSON MEMORIAL UUC GAY/STRAIGHT ALLIANCE,0,0,0
LOG CABIN REPUBLICANS OF WISCONSIN,0,0,0
BALTIMORE OUTLOUD,0,0,0
HUMAN RIGHTS CAMPAIGN OHIO FAMILIES PAC,0,0,0
GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID,0,0,0
COMM FOR FAIRNESS & INDIVIDUAL RIGHTS,0,0,0
EQUALITY WA PAC,0,0,0
CHARLESTON SOCIAL CLUB,0,0,0
PRIDE PAC,0,0,0
ST LOUIS STONEWALL DEMOCRATS,2012,MISSOURI DEMOCRATIC PARTY,140.00
VIRGINIA PARTISANS GAY & LESBIAN PAC,0,0,0
EQUALITY VIRGINIA EDUCATION FOUNDATION,0,0,0
HANDS OFF WA,0,0,0
PFLAG MADISON,0,0,0
STONEWALL DEMOCRATS OF WESTCHESTER,0,0,0
OUTLOOK MEDIA,0,0,0
PFLAG DETROIT,0,0,0
LEAGUE@NCR,0,0,0
PFLAG FOX CITIES,0,0,0
OREGON GAY & LESBIAN LAW ASSOCIATION,0,0,0
PRIDE OF PHILADELPHIA ELECTION COMM,0,0,0
COLORADO STONEWALL DEMOCRATS,2002,DEMOCRATIC SENATE CAMPAIGN FUND OF COLORADO,500.00
INDIANA STONEWELL DEMOCRATS,0,0,0
MIDWEST BISEXUAL LESBIAN GAY TRANSGENDER & ALLY COLLEGE CONFERENCE,0,0,0
KANSAS EQUALITY COALITION,0,0,0
STONE WALL DEMOCRATES,2008,UTAH DEMOCRATIC PARTY,1000.00
LOG CABIN REPUBLICAN PAC FREEDOM & UNITY CMTE/LCR PAC,0,0,0
LOG CABIN REPUBLICANS AGAINST 8,0,0,0
HUMAN RIGHTS CAMPAIGN DALLAS/FORT WORTH,0,0,0
STONEWALL DEMOCRATS OF BEXAR COUNTY,0,0,0
OK GLBT PAC,2012,OKLAHOMA DEMOCRATIC PARTY,1000.00
STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA,0,0,0
PAKISTANI AMERICAN COMMUNITY OF ATLANTA,0,0,0
STONEWALL DEMOCRATS OF WNY,0,0,0
