Interest Group,Year,Amount Contributed
EMPIRE STATE PRIDE AGENDA,2000,45800.00
GREATER BOSTON PFLAG,2018,45000.00
EQUALITY MICHIGAN,2008,44300.00
GAY & LESBIAN VICTORY FUND,2016,44200.00
JLS OPERATIONS,2010,44000.00
BASIC RIGHTS OREGON,2010,42700.55
RIGHT TO PRIVACY PAC,1990,42497.35
EQUALITY ILLINOIS,2016,42000.00
LOG CABIN REPUBLICANS NEW YORK,2006,41690.00
ALLIANCE FOR FULL ACCEPTANCE,2006,41313.90
LOG CABIN REPUBLICANS,2004,40000.00
GILL ACTION FUND,2007,40000.00
OUTFRONT MINNESOTA,2013,40000.00
PROJECT 515,2013,40000.00
EQUALITY NORTH CAROLINA,2010,39750.00
ONE COLORADO,2014,39000.00
GARDEN STATE EQUALITY LLC,2007,38550.00
INDIANA STONEWALL DEMOCRATS,2004,38350.00
NATIONAL GAY & LESBIAN TASK FORCE,2006,37768.94
EQUALITY UTAH,2004,36550.00
PRIDE FOUNDATION,2009,36353.00
EQUALITY MARYLAND,2010,36225.00
EQUALITY VIRGINIA,2007,35287.16
MICHIGAN PRIDE,2010,34550.00
LGBT MENTORING PROJECT,2009,32875.00
EQUALITY PAC,2017,32500.00
PROTECT MAINE EQUALITY,2009,31100.00
FAIRNESS FUND,2008,31000.00
EQUALITY UTAH,2008,30500.00
REPUBLICAN UNITY COALITION,2002,30000.00
MINNESOTA UNITED PAC,2013,30000.00
NO NONSENSE IN 2006,2005,29613.72
EMPIRE STATE PRIDE AGENDA,2002,29425.00
LESBIAN / GAY RIGHTS LOBBY OF TEXAS CALKIN FUND,2005,29000.00
MINNESOTA UNITED PAC,2014,29000.00
EMPIRE STATE PRIDE AGENDA,2004,28500.00
LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,2017,28400.00
EQUALITY CALIFORNIA,2010,27738.82
FAIR WISCONSIN,2014,26980.00
EQUALITY UTAH,2014,26950.00
EQUALITY UTAH,2006,26700.00
FAIRNESS FUND,2010,26625.00
LOG CABIN REPUBLICANS,2012,26400.00
GARDEN STATE EQUALITY,2007,26200.00
EQUALITY MAINE,2010,26150.00
GAY & LESBIAN VICTORY FUND,2002,25881.00
EQUAL RIGHTS WASHINGTON,2009,25678.32
EQUALITY SOUTH DAKOTA,2008,25500.00
FAIRNESS FOR ALL FAMILIES,2008,25000.00
FLORIDA RED & BLUE,2008,25000.00
CALIFORNIA MARRIAGE PAC,2009,25000.00
LESBIAN POLITICAL ACTION CMTE,2014,25000.00
LAMBDA LEGAL,2018,25000.00
EQUALITY PAC,2019,25000.00
PRIDE SOURCE MEDIA GROUP,2004,24995.00
EQUALITY UTAH,2012,24600.00
EQUALITY NORTH CAROLINA,2008,24500.00
