Interest Group,Year,Amount Contributed
LONG BEACH LAMBDA DEMOCRATIC CLUB,2008,2000.00
HARVEY MILK LGBT DEMOCRATIC CLUB,2008,2000.00
EQUALITY NORTH CAROLINA,2011,2000.00
UTAH STONEWALL DEMOCRATS,2014,2000.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2015,2000.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2016,2000.00
TEXAS EQUITY PAC,2016,2000.00
CAPITAL REGION STONEWALL DEMOCRATS,2018,2000.00
DELAWARE LIBERTY FUND,2006,1950.00
STONEWALL DEMOCRATS,2012,1950.00
EQUALITY MAINE,2018,1900.00
PFLAG BOULDER,2006,1852.00
VA PARTISANS,2011,1850.00
CAPITAL REGION STONEWALL DEMOCRATS,2012,1835.00
FLINT HILLS PFLAG,2005,1830.00
GAYPASG PAC,2001,1800.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2016,1800.00
MARYLAND FOR ALL FAMILIES,2012,1787.50
EQUAL RIGHTS WASHINGTON,2004,1775.00
SEATTLE GAY NEWS,2004,1765.00
RAINBOW ALLIANCE,1998,1750.00
HUMAN RIGHTS LEAGUE,2010,1750.00
PINELLAS STONEWALL PAC,2012,1750.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2014,1750.00
TEP-PAC,2016,1750.00
GAY & LESBIAN VICTORY FUND,2003,1735.00
STONEWALL DEMOCRATS OF DENTON COUNTY,2014,1714.00
BAY STATE GAY & LESBIAN DEMOCRATS,2002,1700.00
EQUALITY ARIZONA,2010,1660.00
EQUAL RIGHTS ACTION,2010,1650.00
STONEWALL DEMOCRATS,2006,1601.00
VERMONTERS FOR CIVIL UNIONS,2002,1600.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2006,1600.00
EQUALITY VIRGINIA,2015,1590.72
GAY & LESBIAN VOTERS PAC,2000,1550.00
ARIZONA STONEWALL DEMOCRATS,2002,1550.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2004,1550.00
FREEDOM TO MARRY,2006,1550.00
GAY & LESBIAN COMMUNITY SERVICES CENTER OF ORANGE COUNTY,2008,1548.00
INDIANA STONEWALL DEMOCRATS,2002,1525.00
MASSEQUALITY,2018,1525.00
MONTCALM COUNTY REPUBLICANS,2000,1500.00
GAY OREGON LESBIAN DOLLARS PAC,2000,1500.00
LAMBDA DEMOCRATS OF KEY WEST,2002,1500.00
GAY & LESBIAN INDEPENDENT DEMOCRATS,2002,1500.00
LOG CABIN REPUBLICANS NEW YORK,2004,1500.00
GAYPASG PAC,2004,1500.00
UNITY UTAH,2004,1500.00
VERMONT FUND FOR FAMILIES,2005,1500.00
STONEWALL DEMOCRATIC CLUB OF ARKANSAS,2005,1500.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2005,1500.00
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2006,1500.00
BAY STATE GAY & LESBIAN DEMOCRATS,2006,1500.00
CLEVELAND STONEWALL DEMOCRATS,2006,1500.00
STONEWALL DEMOCRATIC CLUB OF ARKANSAS,2007,1500.00
INDIANA STONEWALL DEMOCRATS,2008,1500.00
EQUALITY VIRGINIA,2008,1500.00
BWB PROPERTIES,2008,1500.00
RAINBOW BUSINESS & PROFESSIONAL ASSOCIATION,2009,1500.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2016,1500.00
CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,2018,1500.00
EQUALITY VIRGINIA,2018,1500.00
LOVE MAKES A FAMILY PAC,2004,1450.00
LOG CABIN REPUBLICAN CLUB OF VIRGINIA,2007,1450.00
LOG CABIN REPUBLICANS HUDSON VALLEY,2008,1420.00
INLAND EMPIRE LESBIAN & GAY DEMOCRATIC CLUB,2000,1350.00
MICHIGAN PRIDE,2002,1350.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2016,1350.00
THOMAS JEFFERSON MEMORIAL UUC GAY/STRAIGHT ALLIANCE,2006,1332.50
STONEWALL DEMOCRATS OF SAN ANTONIO,2004,1300.00
STONEWALL DEMOCRATS OF DALLAS,2010,1260.00
LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA,2002,1250.00
VIRGINIA LOG CABIN REPUBLICANS OF NOVA,2002,1250.00
VERMONT FUND FOR FAMILIES,2003,1250.00
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,2004,1250.00
GAY & LESBIAN INDEPENDENT DEMOCRATS,2004,1250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2009,1250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2016,1250.00
HUMAN RIGHTS CAMPAIGN OHIO FAMILIES PAC,2008,1242.08
VIRGINIA PARTISAN PAC,2002,1214.17
DELAWARE LIBERTY FUND,2012,1200.00
PINELLAS STONEWALL PAC,2014,1200.00
STONEWALL YOUNG DEMOCRATS,2012,1199.00
EQUALITY WA PAC,1998,1185.00
CHARLESTON SOCIAL CLUB,2006,1172.25
BAY STATE GAY & LESBIAN DEMOCRATS,2000,1150.00
LOG CABIN REPUBLICANS OF CALIFORNIA,2003,1125.00
EQUALITY VIRGINIA EDUCATION FOUNDATION,2006,1125.00
HANDS OFF WA,1998,1110.00
LOG CABIN REPUBLICANS OF WISCONSIN,2006,1100.00
PFLAG MADISON,2006,1100.00
LOG CABIN REPUBLICANS HUDSON VALLEY,2006,1100.00
STONEWALL DEMOCRATIC CLUB OF ARKANSAS,2006,1100.00
EQUALITY MARYLAND,2008,1100.00
TEP-PAC,2010,1100.00
STONEWALL YOUNG DEMOCRATS,2016,1100.00
EMPIRE STATE PRIDE AGENDA,2017,1100.00
STONEWALL DEMOCRATS OF WESTCHESTER,2010,1069.07
PINELLAS STONEWALL PAC,2008,1050.00
SEATTLE GAY NEWS,2008,1050.00
NASSAU COUNTY LESBIAN & GAY DEMOCRATS,2010,1050.00
TEP-PAC,2018,1050.00
OUTLOOK MEDIA,2004,1048.00
VERMONT FUND FOR FAMILIES,2000,1038.13
STONEWALL DEMOCRATS OF CENTRAL OHIO,2010,1035.00
SEATTLE GAY NEWS,1996,1000.00
AMERICAN AIDS,1998,1000.00
PRIDE OF PHILADELPHIA ELECTION COMM,1998,1000.00
HUMAN RIGHTS CAMPAIGN,2000,1000.00
LOG CABIN REPUBLICAN PAC FREEDOM & UNITY CMTE/LCR PAC,2000,1000.00
STONEWALL DEMOCRATIC CLUB,2002,1000.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2002,1000.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2002,1000.00
DELAWARE STONEWALL DEMOCRATS,2003,1000.00
VERMONTERS FOR CIVIL UNIONS,2003,1000.00
GAY PASG PAC,2003,1000.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2003,1000.00
PRIDE FOUNDATION,2004,1000.00
EQUALITY CALIFORNIA,2004,1000.00
PFLAG DETROIT,2004,1000.00
LEAGUE@NCR,2004,1000.00
OREGON GAY & LESBIAN LAW ASSOCIATION,2004,1000.00
INDIANA STONEWELL DEMOCRATS,2004,1000.00
HUMAN RIGHTS LEAGUE,2005,1000.00
HUMAN RIGHTS CAMPAIGN DALLAS/FORT WORTH,2005,1000.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2006,1000.00
PFLAG FOX CITIES,2006,1000.00
COLORADO STONEWALL DEMOCRATS,2006,1000.00
MIDWEST BISEXUAL LESBIAN GAY TRANSGENDER & ALLY COLLEGE CONFERENCE,2006,1000.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2006,1000.00
BASIC RIGHTS OREGON,2007,1000.00
GAY & LESBIAN VICTORY FUND,2007,1000.00
VERMONT FUND FOR FAMILIES,2007,1000.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2007,1000.00
BROWARD LOG CABIN CLUB,2008,1000.00
STONEWALL DEMOCRATIC CLUB,2008,1000.00
TEP-PAC,2008,1000.00
STONE WALL DEMOCRATES,2008,1000.00
LOG CABIN REPUBLICANS AGAINST 8,2008,1000.00
CENTER ADVOCATES,2009,1000.00
VIRGINIA PARTISANS GAY & LESBIAN PAC,2009,1000.00
EQUALITY NORTH CAROLINA,2009,1000.00
CALIFORNIA MARRIAGE PAC,2010,1000.00
PRIDE PAC,2010,1000.00
ST LOUIS STONEWALL DEMOCRATS,2010,1000.00
STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY,2010,1000.00
STONEWALL DEMOCRATIC CLUB,2010,1000.00
EQUALITY VIRGINIA,2010,1000.00
STONEWALL DEMOCRATS OF BEXAR COUNTY,2010,1000.00
VIRGINIA PARTISANS GAY & LESBIAN DEMOCRATIC CLUB,2012,1000.00
BAY STATE STONEWALL DEMOCRATS,2012,1000.00
SOUTH CAROLINA EQUALITY COALITION,2012,1000.00
OK GLBT PAC,2012,1000.00
LOG CABIN REPUBLICANS,2013,1000.00
CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB,2014,1000.00
STONEWALL DEMOCRATIC CLUB,2014,1000.00
TEP-PAC,2014,1000.00
MINNESOTANS UNITED FOR ALL FAMILIES,2014,1000.00
EQUALITY NORTH CAROLINA,2015,1000.00
LPAC,2015,1000.00
EQUALITY NORTH CAROLINA,2016,1000.00
STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,2016,1000.00
STONEWALL DEMOCRATS,2018,1000.00
PINELLAS STONEWALL PAC,2018,1000.00
EQUALITY NEW MEXICO,2018,1000.00
EQUALITY VIRGINIA,2019,1000.00
NASSAU COUNTY LESBIAN & GAY DEMOCRATS,2002,975.00
EQUALITY UTAH,2011,950.00
MICHIGAN PRIDE,2000,900.00
DELAWARE RIGHT TO MARRY PAC,2012,900.00
DE RIGHT TO MARRY PAC,2012,900.00
BAY STATE STONEWALL DEMOCRATS,2014,900.00
STONEWALL DEMOCRATIC CAUCUS,2014,900.00
VICTORY FOUNDATION GAY/LESBIAN VICTORY FUND,1998,875.79
BAY STATE STONEWALL DEMOCRATS,2004,875.00
INDIANA STONEWALL DEMOCRATS,2011,875.00
VERMONT FUND FOR FAMILIES,2011,870.00
STONEWALL DEMOCRATIC CLUB ISSUES & ADVOCACY CMTE,2006,852.68
STONEWALL DEMOCRATIC CLUB,2000,850.00
GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID,2004,850.00
LANSING ASSOCIATION FOR HUMAN RIGHTS,2010,850.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2009,842.95
PROGRESS PRINTING CORPORATION,2000,825.00
ST LOUIS NETWORK LLC,2004,805.00
GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,2004,800.00
FREEDOM TO MARRY,2008,800.00
SOUTH CAROLINA STONEWALL DEMOCRATS,2009,800.00
MICH PRIDE PAC,2010,800.00
BALTIMORE OUTLOUD,2012,800.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2012,800.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2014,795.00
BASIC RIGHTS OF OREGON PAC,2000,757.00
INDIANA STONEWALL DEMOCRATS,2003,750.00
INDIANA STONEWALL DEMOCRATS,2005,750.00
GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY,2006,750.00
PAKISTANI AMERICAN COMMUNITY OF ATLANTA,2006,750.00
EQUALITY NORTH CAROLINA,2007,750.00
NASSAU COUNTY LESBIAN & GAY DEMOCRATS,2008,750.00
CAPITAL REGION STONEWALL DEMOCRATS,2008,750.00
LOG CABIN REPUBLICAN CLUB OF VIRGINIA,2009,750.00
STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,2010,750.00
NEW HAMPSHIRE STONEWALL DEMOCRATS,2010,750.00
EQUALITY VIRGINIA,2012,750.00
WILLIAM & MARY GAY LESBIAN ALUMNI,2012,750.00
GAY & LESBIAN DEMOCRATS OF SUFFOLK COUNTY,2008,725.00
BROWARD LOG CABIN CLUB,2012,725.00
BASIC RIGHTS OREGON,2015,713.52
COMM FOR FAIRNESS & INDIVIDUAL RIGHTS,1996,700.00
RAINBOW EQUALITY,2010,700.00
STONEWALL DEMOCRATIC CLUB,2011,700.00
STONEWALL DEMOCRATS OF DALLAS,2013,700.00
STONEWALL DEMOCRATIC CAUCUS,2016,700.00
BLACK HILLS AREA GAY & LESBIAN ASSOCIATION,2006,688.00
REPUBLICAN LIBERTY,2002,650.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2004,650.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2008,650.00
KANAWHA STONEWALL DEMOCRATS,2008,650.00
STONEWALL YOUNG DEMOCRATS,2010,650.00
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,2014,642.27
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,2014,642.27
STONEWALL DEMOCRATS OF CENTRAL MARYLAND,2014,642.27
PFLAG DENVER,2006,639.04
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2010,625.00
LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,2011,618.00
STONEWALL DEMOCRATS,2014,607.00
RIGHT TO PRIVACY PAC,1996,600.00
EQUALITY NEW MEXICO,2002,600.00
TECHNO DYKE,2004,600.00
BAY STATE GAY & LESBIAN DEMOCRATS,2008,600.00
EQUALITY UTAH,2009,600.00
BASIC RIGHTS OREGON,2011,600.00
HARVEY MILK LGBT DEMOCRATIC CLUB,2011,600.00
KANSAS DEMOCRATIC CAUCUS LGBT,2012,600.00
DELAWARE STONEWALL DEMOCRATS,2017,600.00
STONEWALL DEMOCRATIC CLUB,2017,600.00
STANDING TOGETHER & RECLAIMING THE STATE/STARS,2000,577.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2007,569.35
GAY LESBIAN & BISEXUAL COMMUNITY,2000,561.00
LANSING ASSOCIATION FOR HUMAN RIGHTS,2014,553.00
GLID A K A G & L INDEPENDENT DEMOCRATS,2002,550.00
PFLAG GENESEE COUNTY,2004,550.00
STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,2010,550.00
STONEWALL DEMOCRATIC CLUB,2016,540.00
EQUAL RIGHTS WASHINGTON,2018,515.05
SEATTLE GAY NEWS,1992,510.00
LAMBDA DEMOCRATS OF KEY WEST,2004,510.00
PRIVACY FUND,1994,500.00
COMM FOR FAIRNESS & INDIVIDUAL RIGHTS,1994,500.00
AMERICAN AIDS,1996,500.00
NEW YORK STATE LOG CABIN REPUBLICANS,1997,500.00
LOUISIANA LESBIAN & GAY PAC LAGPAC,1999,500.00
LAMBDA DEMOCRATS OF KEY WEST,2000,500.00
WILLIAM BRYAN STRYKER ELECCONTRACTING INC,2000,500.00
EAST END GAY ORG/EEGO,2000,500.00
NORTH CAROLINA EQUALITY,2000,500.00
LOG CABIN REPUBLICANS,2002,500.00
LOG CABIN REPUBLICANS NEW YORK,2002,500.00
BAY STATE GAY & LESBIAN DEMOCRATS PAC,2002,500.00
LOG CABIN REPUBLICANS OF TAMPA BAY,2002,500.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2002,500.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2003,500.00
PFLAG LANSING,2004,500.00
PFLAG-EUGENE/SPRINGFIELD,2004,500.00
INDIANA STONEWALL DEMOCRAT,2004,500.00
STONEWALL DEMOCRATS OF ARIZONA,2004,500.00
GAY PASG PAC,2005,500.00
KANSANS FOR FAIRNESS,2005,500.00
STONEWALL DEMOCRATS OF AUSTIN,2005,500.00
AUSTIN GAY & LESBIAN INTERNATIONAL FILM FESTIVAL,2005,500.00
LAMDA DEMOCRATS OF KEY WEST,2006,500.00
LEGAL MARRIAGE ALLIANCE,2006,500.00
GAY & LESBIAN INDEPENDENT DEMOCRATS,2006,500.00
BALTIMORE OUTLOUD,2006,500.00
INDIANA STONEWALL DEMOCRATS,2006,500.00
COLORADO GAY & LESBIAN ASSOCIATION,2006,500.00
ARIZONA TOGETHER,2006,500.00
MAINE WONT DISCRIMINATE,2006,500.00
EQUALITY VIRGINIA,2007,500.00
GAY & LESBIAN POLITICAL ACTION & SUPPORT GROUP/GAYPASG,2007,500.00
ALICE B TOKLAS LESBIAN GAY DEMOCRATIC CLUB,2008,500.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2008,500.00
EQUALITY NEW MEXICO,2008,500.00
GAY & LESBIAN VICTORY FUND,2009,500.00
STONEWALL DEMOCRATS,2009,500.00
STONEWALL DEMOCRATIC CLUB,2009,500.00
G V STONEWALL DEMOCRATIC CLUB,2010,500.00
KANSAS EQUALITY COALITION,2010,500.00
FAMILY EQUALITY,2010,500.00
EQUALITY MICHIGAN,2011,500.00
CLEVELAND STONEWALL DEMOCRATS,2011,500.00
JLS OPERATIONS,2011,500.00
STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,2011,500.00
UTAH LOG CABIN REPUBLICANS,2011,500.00
EQUALITY FEDERATION,2012,500.00
FAMILY EQUALITY COUNCIL,2012,500.00
STONEWALL DEMOCRATIC CLUB,2012,500.00
KANSAS EQUALITY COALITION,2012,500.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2012,500.00
STONEWALL DEMOCRATIC CAUCUS OF ARKANSAS,2012,500.00
NATIONAL LOG CABIN REPUBLICANS,2012,500.00
SDC OF AR,2012,500.00
EQUALITY MAINE,2013,500.00
TEXAS EQUITY PAC,2013,500.00
EQUALITY NORTH CAROLINA,2014,500.00
KANSAS DEMOCRATIC CAUCUS LGBT,2014,500.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2015,500.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2016,500.00
STONEWALL DEMOCRATIC CLUB OF NEW YORK CITY,2016,500.00
KANSAS DEMOCRATIC CAUCUS LGBT,2016,500.00
EQUALITY PENNSYLVANIA,2016,500.00
GARDEN STATE EQUALITY,2017,500.00
CAPITAL REGION STONEWALL DEMOCRATS,2017,500.00
EQUALITY UTAH,2017,500.00
EQUALITY FEDERATION,2018,500.00
STONEWALL DEMOCRATS OF SAN ANTONIO,2018,500.00
WESTERN MONTANA GAY & LESBIAN COMMUNITY,2004,497.50
PFLAG/DENTON COUNTY,2005,488.00
SEATTLE GAY NEWS,1994,480.00
NASSAU COUNTY LESBIAN & GAY DEMOCRATS,2004,475.00
CENTRAL OKLAHOMA STONEWALL DEMOCRATS,2007,470.00
MICH PRIDE PAC,1998,450.00
GAYPASG PAC,2002,450.00
PRIDE DAY CMTE,2004,450.00
STONEWALL DEMOCRATS OF DALLAS,2004,450.00
GAYPASG PAC,2006,450.00
GAYS & LESBIANS ORGANIZED FOR BETTERMENT & EQUALITY / GLOBE,2012,450.00
STONEWALL DEMOCRATS OF ARKANSAS,2014,450.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2017,450.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2018,450.00
LOG CABIN REPUBLICANS PARTY OF BROWARD COUNTY,2002,442.00
LOG CABIN REPUBLICANS NEW YORK,2014,425.00
HARVEY MILK LGBT DEMOCRATIC CLUB,2012,420.10
STONEWALL DEMOCRATS,2004,408.00
VIRGINIA PARTISAN GAY & LESBIAN DEMO,1999,400.00
GLID,2000,400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2002,400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2004,400.00
GLID,2004,400.00
DELAWARE LIBERTY FUNDS,2004,400.00
TEXAS STONEWALL DEMOCRATIC CAUCUS,2006,400.00
STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA,2006,400.00
EQUALITY FAIRFAX,2006,400.00
JEFFCOUNTY DEMOCRATS GLBT CAUCUS,2008,400.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2010,400.00
STONEWALL DEMOCRATS OF WNY,2010,400.00
HOUR OF POWER,2010,400.00
UTAH STONEWALL DEMOCRATS,2010,400.00
EQUAL RIGHTS ACTION,2011,400.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2012,400.00
STONEWALL DEMOCRATS OF WNY,2012,400.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2014,400.00
ALICE B TOKLAS LGBT DEMOCRATIC CLUB PAC,2010,396.00
SOUTHERN ARIZONA STONEWALL DEMOCRATS,2004,395.00
PRIDE SOURCE MEDIA,2004,379.00
WINGSPAN,2008,375.00
STONEWALL DEMOCRATS OF TARRANT COUNTY,2006,370.00
EQUALITY VIRGINIA,2013,360.11
ASTRAEA FOUNDATION,2004,350.00
UTAH LOG CABIN REPUBLICANS,2004,350.00
GAY & LESBIAN INDEPENDENT DEMOCRATS / GLID,2006,350.00
EQUALITY MARYLAND,2007,350.00
STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA,2010,350.00
EQUALITY MARYLAND,2011,350.00
STONEWALL DEMOCRATS OF PINELLAS,2014,350.00
TRIANGLE FOUNDATION,2004,335.00
WASHINGTON STATE STONEWALL DEMOCRATS,2009,330.00
MICH PRIDE PAC,2002,325.00
KANSAS CITY PRIDE DEMOCRATIC CLUB,2008,325.00
CSRA RAINBOW ALLIANCE,2006,302.00
LOVE MAKES A FAMILY PAC,2002,300.00
WASHTENAW RAINBOW ACTION PROJECT,2004,300.00
CAPITAL REGION STONEWALL DEMOCRATS,2006,300.00
LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,2008,300.00
NATIONAL LOG CABIN REPUBLICANS,2009,300.00
PINELLAS STONEWALL PAC,2010,300.00
GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,2010,300.00
LOG CABIN REPUBLICAN CLUB OF VIRGINIA,2011,300.00
LOG CABIN REPUBLICANS OF MAIMI DADE,2012,300.00
LOG CABIN REPUBLICANS OF CALIFORNIA,2013,300.00
LANSING ASSOCIATION FOR HUMAN RIGHTS,2018,300.00
STONEWALL DEMOCRATS OF DENTON COUNTY,2018,300.00
PARENTS FAMILIES FRIENDS OF LESBIANS & GAYS/PFLAG,2004,290.00
LAKE COUNTY STONEWALL DEMOCRATIC CLUB,2008,281.00
NASSAU COUNTY LESBIAN & GAY DEMOCRATS,2000,275.00
ARIZONA HUMAN RIGHTS FUND,2002,270.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2015,270.00
ONE IOWA,2007,265.00
LGBT POLITICAL CAUCUS OF SO OREGON,2004,260.00
NM LESBIAN &GAY POLITICAL ALLIANCE,1996,250.00
MI PRIDE PAC,1998,250.00
PRIVACY FUND,1998,250.00
PRIVACY FUND/HANDS OFF WA,1998,250.00
PRIDE OF PHILADELPHIA ELECTION COMM,1998,250.00
PRIDE OF PHILADELPHIA ELECTION COMM,1998,250.00
ME WONT DISCRIMINATE,1998,250.00
MICH PRIDE PAC,1999,250.00
BAY STATE GAY & LESBIAN DEMOCRATS PAC,2000,250.00
GAY & LESBIAN DEMOCRATS PAC,2000,250.00
LOG CABIN REPUBLICANS,2001,250.00
LAGPAC,2001,250.00
LOG CABIN CLUB OF EASTERN MASSACHUSETTS,2002,250.00
CLEVELAND STONEWALL DEMOCRATS,2002,250.00
GAY & LESBIAN INDEPENDENT DEMOCRATS/GLID,2002,250.00
GLBT DEMOCRATS & ALLIES OF JEFFERSON COUNTY,2002,250.00
BSG&L DEMOCRATS PAC INC,2004,250.00
STONEWALL DEMOCRATIC CLUB,2004,250.00
LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,2004,250.00
LOG CABIN REPUBLICANS,2005,250.00
LOVE MAKES A FAMILY,2005,250.00
CITIZENS FOR FAIRNESS,2005,250.00
STONEWALL DEMOCRATIC CMTE,2006,250.00
STONEWALL DEMOCRATES,2006,250.00
BAY STATE STONEWALL DEMOCRATS,2006,250.00
STONEWALL DEMOCRATIC CLUB 1247892,2006,250.00
GLID,2006,250.00
THE GAY & LESBIAN ACTIVIST,2006,250.00
PFLAG DILLON SUMMIT COUNTY,2006,250.00
VA PARTISANS,2007,250.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2008,250.00
STONEWALL DEMOCRATS SAUGATUCK,2008,250.00
GAY & LESBIAN INDEPENDENT DEMOCRATS,2008,250.00
STONEWALL DEMOCRATICS OF WNY,2008,250.00
KANSAS DEMOCRATIC LBGT CAUCUS,2008,250.00
OUTFRONT MINNESOTA,2008,250.00
BAY STATE STONEWALL DEMOCRATS,2009,250.00
STONEWALL DEMOCRATS OF CENTRAL OHIO,2009,250.00
EQUALITY OHIO,2010,250.00
CENTER ADVOCATES,2010,250.00
MARRIAGE EQUALITY RHODE ISLAND,2010,250.00
CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS,2011,250.00
GAY & LESBIAN INDEPENDENT DEMOCRATS,2012,250.00
STONEWALL DEMOCRATS OFTHERIO GRANDE VALLEY,2012,250.00
EQUALITY NC ACTION PAC,2012,250.00
BASIC RIGHTS OREGON,2013,250.00
KANSAS CITY PRIDE DEMOCRATIC CLUB,2014,250.00
CAPITAL REGION STONEWALL DEMOCRATS,2014,250.00
STONEWALL DEMOCRATIC-FARMER-LABOR PARTY,2015,250.00
STONEWALL DEMOCRATS,2016,250.00
STONEWALL DEMOCRATS OF PINELLAS,2016,250.00
EQUALITY VIRGINIA,2016,250.00
STONEWALL YOUNG DEMOCRATS,2017,250.00
INDIANA STONEWALL DEMOCRATS,2017,250.00
YES FOR MARRIAGE & EQUALITY PAC,2007,233.13
GAY & LESBIAN LABOR ACTIVIST PAC,2008,225.00
OREGON UNITED FOR MARRIAGE,2013,225.00
FLORIDA GLBT DEMOCRATIC CAUCUS,2011,210.00
MASSEQUALITY,2005,207.01
STONEWALL DEMOCRATS,2000,204.00
STONEWALL DEMO,1998,200.00
LOG CABIN REPUBLICANS OF WISCONSIN,1998,200.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2000,200.00
HARVEY MUGGY LESBIAN/GAY DEMOCRATS,2002,200.00
GAY & LESBIAN VOTERS PAC,2002,200.00
NASSAU COUNTY LESBIAN & GAY DEMOCART,2002,200.00
NASAU COUNTY LESBIAN & GAY DEMOCRATS,2002,200.00
EQUALITY NORTH CAROLINA,2002,200.00
RAINBOW DEMOCRATIC CLUB,2003,200.00
FOUR FREEDOMS DEMOCRATIC CLUB,2004,200.00
PFLAG-KC,2004,200.00
VA PARTISANS,2004,200.00
PFLAG/FORT WORTH,2005,200.00
DESERT STONEWALL DEMOCRATS,2006,200.00
GATEWAY STONEWALL DEMOCRATS,2006,200.00
CHRISTIANS FOR EQUALITY,2006,200.00
LESBIAN & GAY DEMOCRATIC CLUB OF QUEENS,2006,200.00
LOG CABIN REPUBLICAN CLUB OF PENNSYLVANIA,2006,200.00
ROANOKE VALLEY CHAPTER OF PFLAG,2006,200.00
PAKISTANI AMERICAN COMMUNITY OF ATLANTA,2007,200.00
EQUALITY NEW MEXICO,2007,200.00
PFLAG DOWNRIVER,2008,200.00
CLEVELAND STONEWALL DEMOCRATS,2009,200.00
FRESNO STONEWALL DEMOCRATS,2010,200.00
STONEWALL DEMOCRATS OF EASTERN MISSOURI,2010,200.00
STONEWALL DEMOCRATS OF MASSACHUSETTS,2011,200.00
BAY STATE GAY & LESBIAN DEMOCRATS,2012,200.00
STONEWALL DEMOCRATS OF SOUTHWEST FLORIDA,2012,200.00
MASSEQUALITY,2013,200.00
CAPITAL REGION STONEWALL DEMOCRATS,2013,200.00
STONEWALL DEMOCRATS OF THE RIO GRANDE VALLEY,2013,200.00
TEP-PAC,2015,200.00
TENNESSEE EQUALITY PROJECT,2015,200.00
STONEWALL DEMOCRATIC CLUB,2018,200.00
BAY STATE STONEWALL DEMOCRATS,2018,200.00
STONEWALL DEMOCRATIC CLUB,2018,200.00
CENTRAL MAINE GAY MENS SUPPORT GROUP,2005,190.00
RAINBOW DEMOCRATIC CLUB,2006,175.00
PFLAG VALLEY COUNTY,2006,169.15
STONEWALL DEMOCRATS OF DENTON COUNTY,2012,160.00
