"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"347","EL PASO COUNTY STONEWALL DEMS",2002,20,20,"Party Committee"
"348","EL PASO COUNTY STONEWALL DEMS",2002,20,0,"Candidate"
"349","EMPIRE STATE PRIDE AGENDA",2018,5000,0,"Party Committee"
"350","EMPIRE STATE PRIDE AGENDA",2018,5000,5000,"Candidate"
"351","EMPIRE STATE PRIDE AGENDA",2017,1100,0,"Party Committee"
"352","EMPIRE STATE PRIDE AGENDA",2017,1100,1100,"Candidate"
"353","EMPIRE STATE PRIDE AGENDA",2016,10700,0,"Party Committee"
"354","EMPIRE STATE PRIDE AGENDA",2016,10700,10700,"Candidate"
"355","EMPIRE STATE PRIDE AGENDA",2015,12250,6500,"Party Committee"
"356","EMPIRE STATE PRIDE AGENDA",2015,12250,5750,"Candidate"
"357","EMPIRE STATE PRIDE AGENDA",2014,170500,24500,"Party Committee"
"358","EMPIRE STATE PRIDE AGENDA",2014,170500,146000,"Candidate"
"359","EMPIRE STATE PRIDE AGENDA",2013,16175,11000,"Party Committee"
"360","EMPIRE STATE PRIDE AGENDA",2013,16175,5175,"Candidate"
"361","EMPIRE STATE PRIDE AGENDA",2012,179550,56500,"Party Committee"
"362","EMPIRE STATE PRIDE AGENDA",2012,179550,123050,"Candidate"
"363","EMPIRE STATE PRIDE AGENDA",2011,20000,20000,"Party Committee"
"364","EMPIRE STATE PRIDE AGENDA",2011,20000,0,"Candidate"
"365","EMPIRE STATE PRIDE AGENDA",2010,242300,25000,"Party Committee"
"366","EMPIRE STATE PRIDE AGENDA",2010,242300,217300,"Candidate"
"367","EMPIRE STATE PRIDE AGENDA",2008,290600,176700,"Party Committee"
"368","EMPIRE STATE PRIDE AGENDA",2008,290600,113900,"Candidate"
"369","EMPIRE STATE PRIDE AGENDA",2007,7500,2500,"Party Committee"
"370","EMPIRE STATE PRIDE AGENDA",2007,7500,5000,"Candidate"
"371","EMPIRE STATE PRIDE AGENDA",2006,180900,0,"Party Committee"
"372","EMPIRE STATE PRIDE AGENDA",2006,180900,180900,"Candidate"
"373","EMPIRE STATE PRIDE AGENDA",2004,28500,0,"Party Committee"
"374","EMPIRE STATE PRIDE AGENDA",2004,28500,28500,"Candidate"
"375","EMPIRE STATE PRIDE AGENDA",2003,16700,7700,"Party Committee"
"376","EMPIRE STATE PRIDE AGENDA",2003,16700,9000,"Candidate"
"377","EMPIRE STATE PRIDE AGENDA",2002,29425,3500,"Party Committee"
"378","EMPIRE STATE PRIDE AGENDA",2002,29425,25925,"Candidate"
"379","EMPIRE STATE PRIDE AGENDA",2001,18000,10000,"Party Committee"
"380","EMPIRE STATE PRIDE AGENDA",2001,18000,8000,"Candidate"
"381","EMPIRE STATE PRIDE AGENDA",2000,45800,10050,"Party Committee"
"382","EMPIRE STATE PRIDE AGENDA",2000,45800,35750,"Candidate"
"383","EMPIRE STATE PRIDE AGENDA",1999,5500,5000,"Party Committee"
"384","EMPIRE STATE PRIDE AGENDA",1999,5500,500,"Candidate"
"385","EMPIRE STATE PRIDE AGENDA",1998,8454,7500,"Party Committee"
"386","EMPIRE STATE PRIDE AGENDA",1998,8454,954,"Candidate"
"387","EMPIRE STATE PRIDE AGENDA",1997,2350,2350,"Party Committee"
"388","EMPIRE STATE PRIDE AGENDA",1997,2350,0,"Candidate"
"389","EQUAL RIGHTS ACTION",2011,400,400,"Party Committee"
"390","EQUAL RIGHTS ACTION",2011,400,0,"Candidate"
"391","EQUAL RIGHTS ACTION",2010,1650,1500,"Party Committee"
"392","EQUAL RIGHTS ACTION",2010,1650,150,"Candidate"
"393","EQUAL RIGHTS ACTION",2008,2250,0,"Party Committee"
"394","EQUAL RIGHTS ACTION",2008,2250,2250,"Candidate"
"395","EQUAL RIGHTS WASHINGTON",2018,515.05,0,"Party Committee"
"396","EQUAL RIGHTS WASHINGTON",2018,515.05,515.05,"Candidate"
"397","EQUAL RIGHTS WASHINGTON",2012,84073.76,0,"Party Committee"
"398","EQUAL RIGHTS WASHINGTON",2012,84073.76,84073.76,"Candidate"
"399","EQUAL RIGHTS WASHINGTON",2010,5925,0,"Party Committee"
"400","EQUAL RIGHTS WASHINGTON",2010,5925,5925,"Candidate"
"401","EQUAL RIGHTS WASHINGTON",2009,25678.32,0,"Party Committee"
"402","EQUAL RIGHTS WASHINGTON",2009,25678.32,25678.32,"Candidate"
"403","EQUAL RIGHTS WASHINGTON",2008,5689.01,500,"Party Committee"
"404","EQUAL RIGHTS WASHINGTON",2008,5689.01,5189.01,"Candidate"
"405","EQUAL RIGHTS WASHINGTON",2007,150,150,"Party Committee"
"406","EQUAL RIGHTS WASHINGTON",2007,150,0,"Candidate"
"407","EQUAL RIGHTS WASHINGTON",2006,20800,1700,"Party Committee"
"408","EQUAL RIGHTS WASHINGTON",2006,20800,19100,"Candidate"
"409","EQUAL RIGHTS WASHINGTON",2004,1775,75,"Party Committee"
"410","EQUAL RIGHTS WASHINGTON",2004,1775,1700,"Candidate"
"411","EQUALITY ARIZONA",2010,1660,750,"Party Committee"
"412","EQUALITY ARIZONA",2010,1660,910,"Candidate"
"413","EQUALITY CALIFORNIA",2019,2500,2500,"Party Committee"
"414","EQUALITY CALIFORNIA",2019,2500,0,"Candidate"
"415","EQUALITY CALIFORNIA",2018,64750,0,"Party Committee"
"416","EQUALITY CALIFORNIA",2018,64750,64750,"Candidate"
"417","EQUALITY CALIFORNIA",2017,7400,0,"Party Committee"
"418","EQUALITY CALIFORNIA",2017,7400,7400,"Candidate"
"419","EQUALITY CALIFORNIA",2016,141600,0,"Party Committee"
"420","EQUALITY CALIFORNIA",2016,141600,141600,"Candidate"
"421","EQUALITY CALIFORNIA",2014,19850,0,"Party Committee"
"422","EQUALITY CALIFORNIA",2014,19850,19850,"Candidate"
"423","EQUALITY CALIFORNIA",2012,22850.55,0,"Party Committee"
"424","EQUALITY CALIFORNIA",2012,22850.55,22850.55,"Candidate"
"425","EQUALITY CALIFORNIA",2010,27738.82,0,"Party Committee"
"426","EQUALITY CALIFORNIA",2010,27738.82,27738.82,"Candidate"
"427","EQUALITY CALIFORNIA",2009,13962.24,0,"Party Committee"
"428","EQUALITY CALIFORNIA",2009,13962.24,13962.24,"Candidate"
"429","EQUALITY CALIFORNIA",2008,11449174.72,0,"Party Committee"
"430","EQUALITY CALIFORNIA",2008,11449174.72,11449174.72,"Candidate"
"431","EQUALITY CALIFORNIA",2006,17629.98,0,"Party Committee"
"432","EQUALITY CALIFORNIA",2006,17629.98,17629.98,"Candidate"
"433","EQUALITY CALIFORNIA",2004,1000,0,"Party Committee"
"434","EQUALITY CALIFORNIA",2004,1000,1000,"Candidate"
"435","EQUALITY FAIRFAX",2006,400,0,"Party Committee"
"436","EQUALITY FAIRFAX",2006,400,400,"Candidate"
"437","EQUALITY FEDERATION",2018,500,0,"Party Committee"
"438","EQUALITY FEDERATION",2018,500,500,"Candidate"
"439","EQUALITY FEDERATION",2012,500,0,"Party Committee"
"440","EQUALITY FEDERATION",2012,500,500,"Candidate"
"441","EQUALITY FEDERATION",2008,10208.86,0,"Party Committee"
"442","EQUALITY FEDERATION",2008,10208.86,10208.86,"Candidate"
"443","EQUALITY FLORIDA ACTION NETWORK",2008,102301.02,0,"Party Committee"
"444","EQUALITY FLORIDA ACTION NETWORK",2008,102301.02,102301.02,"Candidate"
"445","EQUALITY FOR ALL",2012,100,0,"Party Committee"
"446","EQUALITY FOR ALL",2012,100,100,"Candidate"
"447","EQUALITY ILLINOIS",2018,11175,2500,"Party Committee"
"448","EQUALITY ILLINOIS",2018,11175,8675,"Candidate"
"449","EQUALITY ILLINOIS",2016,42000,12000,"Party Committee"
"450","EQUALITY ILLINOIS",2016,42000,30000,"Candidate"
"451","EQUALITY ILLINOIS",2015,2500,500,"Party Committee"
"452","EQUALITY ILLINOIS",2015,2500,2000,"Candidate"
"453","EQUALITY ILLINOIS",2014,163304.41,0,"Party Committee"
"454","EQUALITY ILLINOIS",2014,163304.41,163304.41,"Candidate"
"455","EQUALITY ILLINOIS",2012,93723,0,"Party Committee"
"456","EQUALITY ILLINOIS",2012,93723,93723,"Candidate"
"457","EQUALITY ILLINOIS",2011,4000,0,"Party Committee"
"458","EQUALITY ILLINOIS",2011,4000,4000,"Candidate"
"459","EQUALITY ILLINOIS",2010,46554.84,500,"Party Committee"
"460","EQUALITY ILLINOIS",2010,46554.84,46054.84,"Candidate"
"461","EQUALITY ILLINOIS",2008,16900,0,"Party Committee"
"462","EQUALITY ILLINOIS",2008,16900,16900,"Candidate"
"463","EQUALITY MAINE",2018,1900,300,"Party Committee"
"464","EQUALITY MAINE",2018,1900,1600,"Candidate"
"465","EQUALITY MAINE",2014,3500,500,"Party Committee"
"466","EQUALITY MAINE",2014,3500,3000,"Candidate"
"467","EQUALITY MAINE",2013,500,500,"Party Committee"
"468","EQUALITY MAINE",2013,500,0,"Candidate"
"469","EQUALITY MAINE",2012,299993.12,4000,"Party Committee"
"470","EQUALITY MAINE",2012,299993.12,295993.12,"Candidate"
"471","EQUALITY MAINE",2011,15685.77,2000,"Party Committee"
"472","EQUALITY MAINE",2011,15685.77,13685.77,"Candidate"
"473","EQUALITY MAINE",2010,26150,25650,"Party Committee"
"474","EQUALITY MAINE",2010,26150,500,"Candidate"
"475","EQUALITY MAINE",2009,131925,3300,"Party Committee"
"476","EQUALITY MAINE",2009,131925,128625,"Candidate"
"477","EQUALITY MAINE",2008,5475,475,"Party Committee"
"478","EQUALITY MAINE",2008,5475,5000,"Candidate"
"479","EQUALITY MARYLAND",2014,10030.85,0,"Party Committee"
"480","EQUALITY MARYLAND",2014,10030.85,10030.85,"Candidate"
"481","EQUALITY MARYLAND",2012,146518,0,"Party Committee"
"482","EQUALITY MARYLAND",2012,146518,146518,"Candidate"
"483","EQUALITY MARYLAND",2011,350,250,"Party Committee"
"484","EQUALITY MARYLAND",2011,350,100,"Candidate"
"485","EQUALITY MARYLAND",2010,36225,0,"Party Committee"
"486","EQUALITY MARYLAND",2010,36225,36225,"Candidate"
"487","EQUALITY MARYLAND",2008,1100,0,"Party Committee"
"488","EQUALITY MARYLAND",2008,1100,1100,"Candidate"
"489","EQUALITY MARYLAND",2007,350,0,"Party Committee"
"490","EQUALITY MARYLAND",2007,350,350,"Candidate"
"491","EQUALITY MARYLAND",2006,14900,0,"Party Committee"
"492","EQUALITY MARYLAND",2006,14900,14900,"Candidate"
"493","EQUALITY MICHIGAN",2011,500,500,"Party Committee"
"494","EQUALITY MICHIGAN",2011,500,0,"Candidate"
"495","EQUALITY MICHIGAN",2010,12000,10000,"Party Committee"
"496","EQUALITY MICHIGAN",2010,12000,2000,"Candidate"
"497","EQUALITY MICHIGAN",2008,44300,0,"Party Committee"
"498","EQUALITY MICHIGAN",2008,44300,44300,"Candidate"
"499","EQUALITY MICHIGAN",2006,2350,500,"Party Committee"
"500","EQUALITY MICHIGAN",2006,2350,1850,"Candidate"
"501","EQUALITY MICHIGAN",2005,2000,2000,"Party Committee"
"502","EQUALITY MICHIGAN",2005,2000,0,"Candidate"
"503","EQUALITY MICHIGAN",2004,53500,22000,"Party Committee"
"504","EQUALITY MICHIGAN",2004,53500,31500,"Candidate"
"505","EQUALITY MICHIGAN",2002,3000,0,"Party Committee"
"506","EQUALITY MICHIGAN",2002,3000,3000,"Candidate"
"507","EQUALITY NC ACTION FUND",2016,4400,0,"Party Committee"
"508","EQUALITY NC ACTION FUND",2016,4400,4400,"Candidate"
"509","EQUALITY NC ACTION FUND",2014,2995,0,"Party Committee"
"510","EQUALITY NC ACTION FUND",2014,2995,2995,"Candidate"
"511","EQUALITY NC ACTION FUND",2012,18750,0,"Party Committee"
"512","EQUALITY NC ACTION FUND",2012,18750,18750,"Candidate"
"513","EQUALITY NC ACTION PAC",2012,250,0,"Party Committee"
"514","EQUALITY NC ACTION PAC",2012,250,250,"Candidate"
"515","EQUALITY NEW HAMPSHIRE",2010,4500,0,"Party Committee"
"516","EQUALITY NEW HAMPSHIRE",2010,4500,4500,"Candidate"
"517","EQUALITY NEW MEXICO",2018,1000,1000,"Party Committee"
"518","EQUALITY NEW MEXICO",2018,1000,0,"Candidate"
"519","EQUALITY NEW MEXICO",2016,2500,2500,"Party Committee"
"520","EQUALITY NEW MEXICO",2016,2500,0,"Candidate"
"521","EQUALITY NEW MEXICO",2010,100,0,"Party Committee"
"522","EQUALITY NEW MEXICO",2010,100,100,"Candidate"
"523","EQUALITY NEW MEXICO",2008,19250,0,"Party Committee"
"524","EQUALITY NEW MEXICO",2008,19250,19250,"Candidate"
"525","EQUALITY NEW MEXICO",2007,200,200,"Party Committee"
"526","EQUALITY NEW MEXICO",2007,200,0,"Candidate"
"527","EQUALITY NEW MEXICO",2006,7800,1000,"Party Committee"
"528","EQUALITY NEW MEXICO",2006,7800,6800,"Candidate"
"529","EQUALITY NEW MEXICO",2005,125,125,"Party Committee"
"530","EQUALITY NEW MEXICO",2005,125,0,"Candidate"
"531","EQUALITY NEW MEXICO",2004,9545,1000,"Party Committee"
"532","EQUALITY NEW MEXICO",2004,9545,8545,"Candidate"
"533","EQUALITY NEW MEXICO",2002,600,0,"Party Committee"
"534","EQUALITY NEW MEXICO",2002,600,600,"Candidate"
"535","EQUALITY NORTH CAROLINA",2016,1000,0,"Party Committee"
"536","EQUALITY NORTH CAROLINA",2016,1000,1000,"Candidate"
"537","EQUALITY NORTH CAROLINA",2015,1000,1000,"Party Committee"
"538","EQUALITY NORTH CAROLINA",2015,1000,0,"Candidate"
"539","EQUALITY NORTH CAROLINA",2014,500,0,"Party Committee"
"540","EQUALITY NORTH CAROLINA",2014,500,500,"Candidate"
"541","EQUALITY NORTH CAROLINA",2012,18850,500,"Party Committee"
"542","EQUALITY NORTH CAROLINA",2012,18850,18350,"Candidate"
"543","EQUALITY NORTH CAROLINA",2011,2000,500,"Party Committee"
"544","EQUALITY NORTH CAROLINA",2011,2000,1500,"Candidate"
"545","EQUALITY NORTH CAROLINA",2010,39750,0,"Party Committee"
"546","EQUALITY NORTH CAROLINA",2010,39750,39750,"Candidate"
"547","EQUALITY NORTH CAROLINA",2009,1000,1000,"Party Committee"
"548","EQUALITY NORTH CAROLINA",2009,1000,0,"Candidate"
"549","EQUALITY NORTH CAROLINA",2008,24500,1000,"Party Committee"
"550","EQUALITY NORTH CAROLINA",2008,24500,23500,"Candidate"
"551","EQUALITY NORTH CAROLINA",2007,750,750,"Party Committee"
"552","EQUALITY NORTH CAROLINA",2007,750,0,"Candidate"
"553","EQUALITY NORTH CAROLINA",2006,46646.8,6100,"Party Committee"
"554","EQUALITY NORTH CAROLINA",2006,46646.8,40546.8,"Candidate"
"555","EQUALITY NORTH CAROLINA",2005,3000,3000,"Party Committee"
"556","EQUALITY NORTH CAROLINA",2005,3000,0,"Candidate"
"557","EQUALITY NORTH CAROLINA",2004,18625,500,"Party Committee"
"558","EQUALITY NORTH CAROLINA",2004,18625,18125,"Candidate"
"559","EQUALITY NORTH CAROLINA",2002,200,100,"Party Committee"
"560","EQUALITY NORTH CAROLINA",2002,200,100,"Candidate"
"561","EQUALITY NORTH CAROLINA",2000,3250,0,"Party Committee"
"562","EQUALITY NORTH CAROLINA",2000,3250,3250,"Candidate"
"563","EQUALITY OHIO",2010,250,0,"Party Committee"
"564","EQUALITY OHIO",2010,250,250,"Candidate"
"565","EQUALITY OHIO",2008,5250,5000,"Party Committee"
"566","EQUALITY OHIO",2008,5250,250,"Candidate"
"567","EQUALITY OHIO",2006,5974.99,0,"Party Committee"
"568","EQUALITY OHIO",2006,5974.99,5974.99,"Candidate"
"569","EQUALITY PAC",2020,22500,0,"Party Committee"
"570","EQUALITY PAC",2020,22500,22500,"Candidate"
"571","EQUALITY PAC",2019,25000,15000,"Party Committee"
"572","EQUALITY PAC",2019,25000,10000,"Candidate"
"573","EQUALITY PAC",2018,826336.6,15000,"Party Committee"
"574","EQUALITY PAC",2018,826336.6,811336.6,"Candidate"
"575","EQUALITY PAC",2017,32500,15000,"Party Committee"
"576","EQUALITY PAC",2017,32500,17500,"Candidate"
"577","EQUALITY PENNSYLVANIA",2016,500,0,"Party Committee"
"578","EQUALITY PENNSYLVANIA",2016,500,500,"Candidate"
"579","EQUALITY PENNSYLVANIA",2014,10944,0,"Party Committee"
"580","EQUALITY PENNSYLVANIA",2014,10944,10944,"Candidate"
"581","EQUALITY PENNSYLVANIA",2012,11500,0,"Party Committee"
"582","EQUALITY PENNSYLVANIA",2012,11500,11500,"Candidate"
"583","EQUALITY SOUTH DAKOTA",2016,4200,0,"Party Committee"
"584","EQUALITY SOUTH DAKOTA",2016,4200,4200,"Candidate"
"585","EQUALITY SOUTH DAKOTA",2014,3000,0,"Party Committee"
"586","EQUALITY SOUTH DAKOTA",2014,3000,3000,"Candidate"
"587","EQUALITY SOUTH DAKOTA",2012,4550,0,"Party Committee"
"588","EQUALITY SOUTH DAKOTA",2012,4550,4550,"Candidate"
"589","EQUALITY SOUTH DAKOTA",2010,23150,0,"Party Committee"
"590","EQUALITY SOUTH DAKOTA",2010,23150,23150,"Candidate"
"591","EQUALITY SOUTH DAKOTA",2008,25500,0,"Party Committee"
"592","EQUALITY SOUTH DAKOTA",2008,25500,25500,"Candidate"
"593","EQUALITY UTAH",2018,22450,0,"Party Committee"
"594","EQUALITY UTAH",2018,22450,22450,"Candidate"
"595","EQUALITY UTAH",2017,500,500,"Party Committee"
"596","EQUALITY UTAH",2017,500,0,"Candidate"
"597","EQUALITY UTAH",2016,10265,1175,"Party Committee"
"598","EQUALITY UTAH",2016,10265,9090,"Candidate"
"599","EQUALITY UTAH",2015,2450,700,"Party Committee"
"600","EQUALITY UTAH",2015,2450,1750,"Candidate"
"601","EQUALITY UTAH",2014,26950,1000,"Party Committee"
"602","EQUALITY UTAH",2014,26950,25950,"Candidate"
"603","EQUALITY UTAH",2013,14900,1900,"Party Committee"
"604","EQUALITY UTAH",2013,14900,13000,"Candidate"
"605","EQUALITY UTAH",2012,24600,1250,"Party Committee"
"606","EQUALITY UTAH",2012,24600,23350,"Candidate"
"607","EQUALITY UTAH",2011,950,950,"Party Committee"
"608","EQUALITY UTAH",2011,950,0,"Candidate"
"609","EQUALITY UTAH",2010,14300,500,"Party Committee"
"610","EQUALITY UTAH",2010,14300,13800,"Candidate"
"611","EQUALITY UTAH",2009,600,600,"Party Committee"
"612","EQUALITY UTAH",2009,600,0,"Candidate"
"613","EQUALITY UTAH",2008,30500,0,"Party Committee"
"614","EQUALITY UTAH",2008,30500,30500,"Candidate"
"615","EQUALITY UTAH",2006,26700,1800,"Party Committee"
"616","EQUALITY UTAH",2006,26700,24900,"Candidate"
"617","EQUALITY UTAH",2004,36550,5250,"Party Committee"
"618","EQUALITY UTAH",2004,36550,31300,"Candidate"
"619","EQUALITY VIRGINIA",2019,1000,1000,"Party Committee"
"620","EQUALITY VIRGINIA",2019,1000,0,"Candidate"
"621","EQUALITY VIRGINIA",2018,1500,1500,"Party Committee"
"622","EQUALITY VIRGINIA",2018,1500,0,"Candidate"
"623","EQUALITY VIRGINIA",2017,19000,250,"Party Committee"
"624","EQUALITY VIRGINIA",2017,19000,18750,"Candidate"
"625","EQUALITY VIRGINIA",2016,250,0,"Party Committee"
"626","EQUALITY VIRGINIA",2016,250,250,"Candidate"
"627","EQUALITY VIRGINIA",2015,1590.72,0,"Party Committee"
"628","EQUALITY VIRGINIA",2015,1590.72,1590.72,"Candidate"
"629","EQUALITY VIRGINIA",2013,360.11,360.11,"Party Committee"
"630","EQUALITY VIRGINIA",2013,360.11,0,"Candidate"
"631","EQUALITY VIRGINIA",2012,750,750,"Party Committee"
"632","EQUALITY VIRGINIA",2012,750,0,"Candidate"
"633","EQUALITY VIRGINIA",2011,6600,1000,"Party Committee"
"634","EQUALITY VIRGINIA",2011,6600,5600,"Candidate"
"635","EQUALITY VIRGINIA",2010,1000,1000,"Party Committee"
"636","EQUALITY VIRGINIA",2010,1000,0,"Candidate"
"637","EQUALITY VIRGINIA",2009,14000,1000,"Party Committee"
"638","EQUALITY VIRGINIA",2009,14000,13000,"Candidate"
"639","EQUALITY VIRGINIA",2008,1500,1250,"Party Committee"
"640","EQUALITY VIRGINIA",2008,1500,250,"Candidate"
"641","EQUALITY VIRGINIA",2007,35287.16,500,"Party Committee"
"642","EQUALITY VIRGINIA",2007,35287.16,34787.16,"Candidate"
"643","EQUALITY VIRGINIA",2006,169322,500,"Party Committee"
"644","EQUALITY VIRGINIA",2006,169322,168822,"Candidate"
"645","EQUALITY VIRGINIA",2005,11308.12,0,"Party Committee"
"646","EQUALITY VIRGINIA",2005,11308.12,11308.12,"Candidate"
"647","EQUALITY VIRGINIA EDUCATION FOUNDATION",2006,1125,0,"Party Committee"
"648","EQUALITY VIRGINIA EDUCATION FOUNDATION",2006,1125,1125,"Candidate"
"649","EQUALITY WA PAC",1998,1185,0,"Party Committee"
"650","EQUALITY WA PAC",1998,1185,1185,"Candidate"
"651","EVERGREEN PFLAG",2006,54,0,"Party Committee"
"652","EVERGREEN PFLAG",2006,54,54,"Candidate"
"653","FAIR WISCONSIN",2014,26980,0,"Party Committee"
"654","FAIR WISCONSIN",2014,26980,26980,"Candidate"
"655","FAIRNESS CAMPAIGN",2004,17000,0,"Party Committee"
"656","FAIRNESS CAMPAIGN",2004,17000,17000,"Candidate"
"657","FAIRNESS FOR ALL FAMILIES",2008,25000,0,"Party Committee"
"658","FAIRNESS FOR ALL FAMILIES",2008,25000,25000,"Candidate"
"659","FAIRNESS FUND",2012,100,0,"Party Committee"
"660","FAIRNESS FUND",2012,100,100,"Candidate"
"661","FAIRNESS FUND",2010,26625,1125,"Party Committee"
"662","FAIRNESS FUND",2010,26625,25500,"Candidate"
"663","FAIRNESS FUND",2009,8738.81,8738.81,"Party Committee"
"664","FAIRNESS FUND",2009,8738.81,0,"Candidate"
"665","FAIRNESS FUND",2008,31000,30000,"Party Committee"
"666","FAIRNESS FUND",2008,31000,1000,"Candidate"
"667","FAMILIES FOR A BETTER IDAHO",2008,3500,0,"Party Committee"
"668","FAMILIES FOR A BETTER IDAHO",2008,3500,3500,"Candidate"
"669","FAMILIES FOR A BETTER IDAHO",2006,0,0,"Party Committee"
"670","FAMILIES FOR A BETTER IDAHO",2006,0,0,"Candidate"
"671","FAMILY EQUALITY",2010,500,0,"Party Committee"
"672","FAMILY EQUALITY",2010,500,500,"Candidate"
"673","FAMILY EQUALITY COUNCIL",2012,500,0,"Party Committee"
"674","FAMILY EQUALITY COUNCIL",2012,500,500,"Candidate"
"675","FAMILY EQUALITY COUNCIL",2008,59687.55,0,"Party Committee"
"676","FAMILY EQUALITY COUNCIL",2008,59687.55,59687.55,"Candidate"
"677","FLINT HILLS PFLAG",2005,1830,0,"Party Committee"
"678","FLINT HILLS PFLAG",2005,1830,1830,"Candidate"
"679","FLORIDA GLBT DEMOCRATIC CAUCUS",2017,450,450,"Party Committee"
"680","FLORIDA GLBT DEMOCRATIC CAUCUS",2017,450,0,"Candidate"
"681","FLORIDA GLBT DEMOCRATIC CAUCUS",2016,1500,1500,"Party Committee"
"682","FLORIDA GLBT DEMOCRATIC CAUCUS",2016,1500,0,"Candidate"
"683","FLORIDA GLBT DEMOCRATIC CAUCUS",2015,270,270,"Party Committee"
"684","FLORIDA GLBT DEMOCRATIC CAUCUS",2015,270,0,"Candidate"
"685","FLORIDA GLBT DEMOCRATIC CAUCUS",2014,1750,1750,"Party Committee"
"686","FLORIDA GLBT DEMOCRATIC CAUCUS",2014,1750,0,"Candidate"
"687","FLORIDA GLBT DEMOCRATIC CAUCUS",2013,4600,4600,"Party Committee"
"688","FLORIDA GLBT DEMOCRATIC CAUCUS",2013,4600,0,"Candidate"
"689","FLORIDA GLBT DEMOCRATIC CAUCUS",2011,210,210,"Party Committee"
"690","FLORIDA GLBT DEMOCRATIC CAUCUS",2011,210,0,"Candidate"
"691","FLORIDA GLBT DEMOCRATIC CAUCUS",2010,4890.4,4390.4,"Party Committee"
"692","FLORIDA GLBT DEMOCRATIC CAUCUS",2010,4890.4,500,"Candidate"
"693","FLORIDA GLBT DEMOCRATIC CAUCUS",2009,842.95,842.95,"Party Committee"
"694","FLORIDA GLBT DEMOCRATIC CAUCUS",2009,842.95,0,"Candidate"
"695","FLORIDA GLBT DEMOCRATIC CAUCUS",2008,250,250,"Party Committee"
"696","FLORIDA GLBT DEMOCRATIC CAUCUS",2008,250,0,"Candidate"
"697","FLORIDA GLBT DEMOCRATIC CAUCUS",2007,569.35,569.35,"Party Committee"
"698","FLORIDA GLBT DEMOCRATIC CAUCUS",2007,569.35,0,"Candidate"
"699","FLORIDA RED & BLUE",2008,25000,0,"Party Committee"
"700","FLORIDA RED & BLUE",2008,25000,25000,"Candidate"
"701","FLORIDA TRIANGLE DEMOCRATIC CAUCUS",2005,70,70,"Party Committee"
"702","FLORIDA TRIANGLE DEMOCRATIC CAUCUS",2005,70,0,"Candidate"
"703","FOUR FREEDOMS DEMOCRATIC CLUB",2004,200,0,"Party Committee"
"704","FOUR FREEDOMS DEMOCRATIC CLUB",2004,200,200,"Candidate"
"705","FREEDOM FOR ALL AMERICANS",2018,156026.23,0,"Party Committee"
"706","FREEDOM FOR ALL AMERICANS",2018,156026.23,156026.23,"Candidate"
"707","FREEDOM MASSACHUSETTS EDUCATION FUND",2018,705932.8,0,"Party Committee"
"708","FREEDOM MASSACHUSETTS EDUCATION FUND",2018,705932.8,705932.8,"Candidate"
"709","FREEDOM TO MARRY",2012,4014179.82,0,"Party Committee"
"710","FREEDOM TO MARRY",2012,4014179.82,4014179.82,"Candidate"
"711","FREEDOM TO MARRY",2009,232385,2385,"Party Committee"
"712","FREEDOM TO MARRY",2009,232385,230000,"Candidate"
"713","FREEDOM TO MARRY",2008,800,0,"Party Committee"
"714","FREEDOM TO MARRY",2008,800,800,"Candidate"
"715","FREEDOM TO MARRY",2006,1550,0,"Party Committee"
"716","FREEDOM TO MARRY",2006,1550,1550,"Candidate"
"717","FREEDOM TO MARRY",2004,9250,0,"Party Committee"
"718","FREEDOM TO MARRY",2004,9250,9250,"Candidate"
"719","FRESNO STONEWALL DEMOCRATS",2010,200,0,"Party Committee"
"720","FRESNO STONEWALL DEMOCRATS",2010,200,200,"Candidate"
"721","G V STONEWALL DEMOCRATIC CLUB",2010,500,0,"Party Committee"
"722","G V STONEWALL DEMOCRATIC CLUB",2010,500,500,"Candidate"
"723","G/L COMMUNITY TRUST",2006,20,0,"Party Committee"
"724","G/L COMMUNITY TRUST",2006,20,20,"Candidate"
"725","GARDEN STATE EQUALITY",2017,500,0,"Party Committee"
"726","GARDEN STATE EQUALITY",2017,500,500,"Candidate"
"727","GARDEN STATE EQUALITY",2011,2500,0,"Party Committee"
"728","GARDEN STATE EQUALITY",2011,2500,2500,"Candidate"
"729","GARDEN STATE EQUALITY",2009,22725,10000,"Party Committee"
"730","GARDEN STATE EQUALITY",2009,22725,12725,"Candidate"
"731","GARDEN STATE EQUALITY",2007,26200,7500,"Party Committee"
"732","GARDEN STATE EQUALITY",2007,26200,18700,"Candidate"
"733","GARDEN STATE EQUALITY",2006,2000,2000,"Party Committee"
"734","GARDEN STATE EQUALITY",2006,2000,0,"Candidate"
"735","GARDEN STATE EQUALITY LLC",2008,11500,6500,"Party Committee"
"736","GARDEN STATE EQUALITY LLC",2008,11500,5000,"Candidate"
"737","GARDEN STATE EQUALITY LLC",2007,38550,28800,"Party Committee"
"738","GARDEN STATE EQUALITY LLC",2007,38550,9750,"Candidate"
"739","GATEWAY STONEWALL DEMOCRATS",2008,2080,0,"Party Committee"
"740","GATEWAY STONEWALL DEMOCRATS",2008,2080,2080,"Candidate"
"741","GATEWAY STONEWALL DEMOCRATS",2006,200,0,"Party Committee"
