"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"84","BASIC RIGHTS OREGON",2004,195992.62,195992.62,"Candidate"
"85","BASIC RIGHTS OREGON",2002,48360.63,3500,"Party Committee"
"86","BASIC RIGHTS OREGON",2002,48360.63,44860.63,"Candidate"
"87","BASIC RIGHTS OREGON",2000,127,0,"Party Committee"
"88","BASIC RIGHTS OREGON",2000,127,127,"Candidate"
"89","BASIC RIGHTS OREGON",1998,15198.88,1032.88,"Party Committee"
"90","BASIC RIGHTS OREGON",1998,15198.88,14166,"Candidate"
"91","BAY STATE GAY & LESBIAN DEMOCRATS",2012,200,0,"Party Committee"
"92","BAY STATE GAY & LESBIAN DEMOCRATS",2012,200,200,"Candidate"
"93","BAY STATE GAY & LESBIAN DEMOCRATS",2008,600,200,"Party Committee"
"94","BAY STATE GAY & LESBIAN DEMOCRATS",2008,600,400,"Candidate"
"95","BAY STATE GAY & LESBIAN DEMOCRATS",2006,1500,0,"Party Committee"
"96","BAY STATE GAY & LESBIAN DEMOCRATS",2006,1500,1500,"Candidate"
"97","BAY STATE GAY & LESBIAN DEMOCRATS",2004,4800,0,"Party Committee"
"98","BAY STATE GAY & LESBIAN DEMOCRATS",2004,4800,4800,"Candidate"
"99","BAY STATE GAY & LESBIAN DEMOCRATS",2002,1700,450,"Party Committee"
"100","BAY STATE GAY & LESBIAN DEMOCRATS",2002,1700,1250,"Candidate"
"101","BAY STATE GAY & LESBIAN DEMOCRATS",2000,1150,100,"Party Committee"
"102","BAY STATE GAY & LESBIAN DEMOCRATS",2000,1150,1050,"Candidate"
"103","BAY STATE GAY & LESBIAN DEMOCRATS PAC",2002,500,0,"Party Committee"
"104","BAY STATE GAY & LESBIAN DEMOCRATS PAC",2002,500,500,"Candidate"
"105","BAY STATE GAY & LESBIAN DEMOCRATS PAC",2000,250,0,"Party Committee"
"106","BAY STATE GAY & LESBIAN DEMOCRATS PAC",2000,250,250,"Candidate"
"107","BAY STATE STONEWALL DEMOCRATS",2018,200,0,"Party Committee"
"108","BAY STATE STONEWALL DEMOCRATS",2018,200,200,"Candidate"
"109","BAY STATE STONEWALL DEMOCRATS",2014,900,0,"Party Committee"
"110","BAY STATE STONEWALL DEMOCRATS",2014,900,900,"Candidate"
"111","BAY STATE STONEWALL DEMOCRATS",2012,1000,0,"Party Committee"
"112","BAY STATE STONEWALL DEMOCRATS",2012,1000,1000,"Candidate"
"113","BAY STATE STONEWALL DEMOCRATS",2009,250,0,"Party Committee"
"114","BAY STATE STONEWALL DEMOCRATS",2009,250,250,"Candidate"
"115","BAY STATE STONEWALL DEMOCRATS",2006,250,0,"Party Committee"
"116","BAY STATE STONEWALL DEMOCRATS",2006,250,250,"Candidate"
"117","BAY STATE STONEWALL DEMOCRATS",2004,875,0,"Party Committee"
"118","BAY STATE STONEWALL DEMOCRATS",2004,875,875,"Candidate"
"119","BAY STATE STONEWALL DEMOCRATS",2002,100,0,"Party Committee"
"120","BAY STATE STONEWALL DEMOCRATS",2002,100,100,"Candidate"
"121","BLACK HILLS AREA GAY & LESBIAN ASSOCIATION",2006,688,0,"Party Committee"
"122","BLACK HILLS AREA GAY & LESBIAN ASSOCIATION",2006,688,688,"Candidate"
"123","BOULDER PRIDE",2006,2655,0,"Party Committee"
"124","BOULDER PRIDE",2006,2655,2655,"Candidate"
"125","BRO ELECT PAC",2000,77,0,"Party Committee"
"126","BRO ELECT PAC",2000,77,77,"Candidate"
"127","BROWARD LOG CABIN CLUB",2012,725,0,"Party Committee"
"128","BROWARD LOG CABIN CLUB",2012,725,725,"Candidate"
"129","BROWARD LOG CABIN CLUB",2010,100,0,"Party Committee"
"130","BROWARD LOG CABIN CLUB",2010,100,100,"Candidate"
"131","BROWARD LOG CABIN CLUB",2008,1000,0,"Party Committee"
"132","BROWARD LOG CABIN CLUB",2008,1000,1000,"Candidate"
"133","BROWARD LOG CABIN REPUBLICAN CLUB",2012,50,0,"Party Committee"
"134","BROWARD LOG CABIN REPUBLICAN CLUB",2012,50,50,"Candidate"
"135","BRUCE W BASTIAN FOUNDATION",2004,239000,0,"Party Committee"
"136","BRUCE W BASTIAN FOUNDATION",2004,239000,239000,"Candidate"
"137","BSG&L DEMOCRATS PAC INC",2004,250,0,"Party Committee"
"138","BSG&L DEMOCRATS PAC INC",2004,250,250,"Candidate"
"139","BWB PROPERTIES",2008,1500,1500,"Party Committee"
"140","BWB PROPERTIES",2008,1500,0,"Candidate"
"141","BWB PROPERTIES",2006,5500,1500,"Party Committee"
"142","BWB PROPERTIES",2006,5500,4000,"Candidate"
"143","CALIFORNIA MARRIAGE PAC",2010,1000,1000,"Party Committee"
"144","CALIFORNIA MARRIAGE PAC",2010,1000,0,"Candidate"
"145","CALIFORNIA MARRIAGE PAC",2009,25000,0,"Party Committee"
"146","CALIFORNIA MARRIAGE PAC",2009,25000,25000,"Candidate"
"147","CALIFORNIANS FOR FAIRNESS",2000,5000,5000,"Party Committee"
"148","CALIFORNIANS FOR FAIRNESS",2000,5000,0,"Candidate"
"149","CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8",2008,661500,0,"Party Committee"
"150","CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8",2008,661500,661500,"Candidate"
"151","CAMPAIGN FOR ALL DC FAMILIES",2012,10000,0,"Party Committee"
"152","CAMPAIGN FOR ALL DC FAMILIES",2012,10000,10000,"Candidate"
"153","CAPITAL REGION STONEWALL DEMOCRATS",2018,2000,0,"Party Committee"
"154","CAPITAL REGION STONEWALL DEMOCRATS",2018,2000,2000,"Candidate"
"155","CAPITAL REGION STONEWALL DEMOCRATS",2017,500,0,"Party Committee"
"156","CAPITAL REGION STONEWALL DEMOCRATS",2017,500,500,"Candidate"
"157","CAPITAL REGION STONEWALL DEMOCRATS",2016,4250,0,"Party Committee"
"158","CAPITAL REGION STONEWALL DEMOCRATS",2016,4250,4250,"Candidate"
"159","CAPITAL REGION STONEWALL DEMOCRATS",2015,100,100,"Party Committee"
"160","CAPITAL REGION STONEWALL DEMOCRATS",2015,100,0,"Candidate"
"161","CAPITAL REGION STONEWALL DEMOCRATS",2014,250,0,"Party Committee"
"162","CAPITAL REGION STONEWALL DEMOCRATS",2014,250,250,"Candidate"
"163","CAPITAL REGION STONEWALL DEMOCRATS",2013,200,0,"Party Committee"
"164","CAPITAL REGION STONEWALL DEMOCRATS",2013,200,200,"Candidate"
"165","CAPITAL REGION STONEWALL DEMOCRATS",2012,1835,0,"Party Committee"
"166","CAPITAL REGION STONEWALL DEMOCRATS",2012,1835,1835,"Candidate"
"167","CAPITAL REGION STONEWALL DEMOCRATS",2008,750,0,"Party Committee"
"168","CAPITAL REGION STONEWALL DEMOCRATS",2008,750,750,"Candidate"
"169","CAPITAL REGION STONEWALL DEMOCRATS",2006,300,0,"Party Committee"
"170","CAPITAL REGION STONEWALL DEMOCRATS",2006,300,300,"Candidate"
"171","CENTER ADVOCACY PROJECT",2008,506294.37,0,"Party Committee"
"172","CENTER ADVOCACY PROJECT",2008,506294.37,506294.37,"Candidate"
"173","CENTER ADVOCATES",2010,250,0,"Party Committee"
"174","CENTER ADVOCATES",2010,250,250,"Candidate"
"175","CENTER ADVOCATES",2009,1000,0,"Party Committee"
"176","CENTER ADVOCATES",2009,1000,1000,"Candidate"
"177","CENTER ADVOCATES",2008,4500,0,"Party Committee"
"178","CENTER ADVOCATES",2008,4500,4500,"Candidate"
"179","CENTER ADVOCATES",2007,2000,2000,"Party Committee"
"180","CENTER ADVOCATES",2007,2000,0,"Candidate"
"181","CENTER ADVOCATES",2006,3057.25,0,"Party Committee"
"182","CENTER ADVOCATES",2006,3057.25,3057.25,"Candidate"
"183","CENTRAL MAINE GAY MENS SUPPORT GROUP",2005,190,0,"Party Committee"
"184","CENTRAL MAINE GAY MENS SUPPORT GROUP",2005,190,190,"Candidate"
"185","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2008,500,0,"Party Committee"
"186","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2008,500,500,"Candidate"
"187","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2007,470,470,"Party Committee"
"188","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2007,470,0,"Candidate"
"189","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2006,1600,1250,"Party Committee"
"190","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2006,1600,350,"Candidate"
"191","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2003,500,500,"Party Committee"
"192","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2003,500,0,"Candidate"
"193","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2002,500,500,"Party Committee"
"194","CENTRAL OKLAHOMA STONEWALL DEMOCRATS",2002,500,0,"Candidate"
"195","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2018,1500,0,"Party Committee"
"196","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2018,1500,1500,"Candidate"
"197","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2014,1000,0,"Party Committee"
"198","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2014,1000,1000,"Candidate"
"199","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2012,6390,0,"Party Committee"
"200","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2012,6390,6390,"Candidate"
"201","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2010,4320,0,"Party Committee"
"202","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2010,4320,4320,"Candidate"
"203","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2008,10750,0,"Party Committee"
"204","CENTRAL VALLEY STONEWALL DEMOCRATIC CLUB",2008,10750,10750,"Candidate"
"205","CHARLESTON SOCIAL CLUB",2006,1172.25,0,"Party Committee"
"206","CHARLESTON SOCIAL CLUB",2006,1172.25,1172.25,"Candidate"
"207","CHRISTIANS FOR EQUALITY",2006,200,0,"Party Committee"
"208","CHRISTIANS FOR EQUALITY",2006,200,200,"Candidate"
"209","CIMARRON EQUALITY OKLAHOMA",2012,5000,5000,"Party Committee"
"210","CIMARRON EQUALITY OKLAHOMA",2012,5000,0,"Candidate"
"211","CIMARRON EQUALITY OKLAHOMA",2004,6800,0,"Party Committee"
"212","CIMARRON EQUALITY OKLAHOMA",2004,6800,6800,"Candidate"
"213","CITIZENS FOR FAIRNESS",2005,250,0,"Party Committee"
"214","CITIZENS FOR FAIRNESS",2005,250,250,"Candidate"
"215","CIVIL MARRIAGE COLLABORATIVE",2012,125000,0,"Party Committee"
"216","CIVIL MARRIAGE COLLABORATIVE",2012,125000,125000,"Candidate"
"217","CLEVELAND STONEWALL DEMOCRATS",2018,5400,0,"Party Committee"
"218","CLEVELAND STONEWALL DEMOCRATS",2018,5400,5400,"Candidate"
"219","CLEVELAND STONEWALL DEMOCRATS",2016,3500,1000,"Party Committee"
"220","CLEVELAND STONEWALL DEMOCRATS",2016,3500,2500,"Candidate"
"221","CLEVELAND STONEWALL DEMOCRATS",2014,5250,0,"Party Committee"
"222","CLEVELAND STONEWALL DEMOCRATS",2014,5250,5250,"Candidate"
"223","CLEVELAND STONEWALL DEMOCRATS",2012,4850,0,"Party Committee"
"224","CLEVELAND STONEWALL DEMOCRATS",2012,4850,4850,"Candidate"
"225","CLEVELAND STONEWALL DEMOCRATS",2011,500,0,"Party Committee"
"226","CLEVELAND STONEWALL DEMOCRATS",2011,500,500,"Candidate"
"227","CLEVELAND STONEWALL DEMOCRATS",2010,8000,1500,"Party Committee"
"228","CLEVELAND STONEWALL DEMOCRATS",2010,8000,6500,"Candidate"
"229","CLEVELAND STONEWALL DEMOCRATS",2009,200,200,"Party Committee"
"230","CLEVELAND STONEWALL DEMOCRATS",2009,200,0,"Candidate"
"231","CLEVELAND STONEWALL DEMOCRATS",2008,2150,1100,"Party Committee"
"232","CLEVELAND STONEWALL DEMOCRATS",2008,2150,1050,"Candidate"
"233","CLEVELAND STONEWALL DEMOCRATS",2006,1500,0,"Party Committee"
"234","CLEVELAND STONEWALL DEMOCRATS",2006,1500,1500,"Candidate"
"235","CLEVELAND STONEWALL DEMOCRATS",2004,4500,600,"Party Committee"
"236","CLEVELAND STONEWALL DEMOCRATS",2004,4500,3900,"Candidate"
"237","CLEVELAND STONEWALL DEMOCRATS",2002,250,0,"Party Committee"
"238","CLEVELAND STONEWALL DEMOCRATS",2002,250,250,"Candidate"
"239","CMTE FOR FAIRNESS",2004,8522.5,0,"Party Committee"
"240","CMTE FOR FAIRNESS",2004,8522.5,8522.5,"Candidate"
"241","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2018,4200,0,"Party Committee"
"242","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2018,4200,4200,"Candidate"
"243","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2016,1800,1000,"Party Committee"
"244","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2016,1800,800,"Candidate"
"245","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2015,2000,0,"Party Committee"
"246","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2015,2000,2000,"Candidate"
"247","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2014,2900,1000,"Party Committee"
"248","CMTE FOR FAIRNESS & INDIVIDUAL RIGHTS",2014,2900,1900,"Candidate"
